Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
A.J. Mihm Generating Station IC M1,44520.119813077414,16651.721537164263,12573.868304600008,10172.064804733342,26556.3722795613,13615.81394059999,18331.983148490333,22681.796916464504,29719.03034273334,12678.890750361315,15879.286018233375,7278.907450748389,46385.78722343221,17676.622777992852,14499.69590119351,12289.260553766675,29464.516137290346,14774.321723466674,20193.869298322577,23840.003450503253,30602.2821709,13234.33543538714,14869.387018933347,5938.076148174205
A.J. Mihm Generating Station IC M2,44520.119813077414,16651.721537164263,12573.868304600008,10172.064804733342,26556.3722795613,13615.81394059999,18331.983148490333,22681.796916464504,29719.03034273334,12678.890750361315,15879.286018233375,7278.907450748389,46385.78722343221,17676.622777992852,14499.69590119351,12289.260553766675,29464.516137290346,14774.321723466674,20193.869298322577,23840.003450503253,30602.2821709,13234.33543538714,14869.387018933347,5938.076148174205
A.J. Mihm Generating Station IC M3,44520.119813077414,16651.721537164263,12573.868304600008,10172.064804733342,26556.3722795613,13615.81394059999,18331.983148490333,22681.796916464504,29719.03034273334,12678.890750361315,15879.286018233375,7278.907450748389,46385.78722343221,17676.622777992852,14499.69590119351,12289.260553766675,29464.516137290346,14774.321723466674,20193.869298322577,23840.003450503253,30602.2821709,13234.33543538714,14869.387018933347,5938.076148174205
A.L. Pierce CT 4,462892.3693358279,169113.96526514238,91519.31473158032,370.70718055555517,53078.54519461289,45558.568197999964,74309.32465532252,218748.9030301075,519949.09091766656,55196.58330940863,29275.590813333387,373724.17081325897,463524.766551828,165326.5706792852,61894.49992638684,258.2107525555548,52835.061822612886,46166.723217999985,74944.49743532254,220844.39299586002,517638.5757876665,52902.07071540857,28821.610143333397,385575.6265983969
Aberdeen CT 2,205602.85040967807,158714.42540000004,209222.81862903247,323981.67916666623,175061.19761290285,178776.50199999998,282149.0036129026,321354.8181967735,154970.0841333333,375741.63317419344,245190.76249999978,240041.6059064514,223107.27990967722,220340.75862857176,227640.74003548367,333855.84613333293,363463.7076967736,187330.9642666665,309010.3650193545,340973.4062806451,164177.20320000005,385234.4915483872,245111.86250000028,235477.9681903224
Aberdeen CT GT1,5131.813285591397,12085.542373333337,2063.408079569892,42769.22089999999,11720.410101505378,18925.640222222224,4345.4607316129,44221.46182322581,4475.182071111112,26080.196033763437,31997.26408666667,2039.3400804301073,5201.524325591397,6949.741226666669,2145.661999569893,43086.244459999994,50874.43949225804,19042.034822222224,4566.397531612904,44427.87838322579,4543.004791111112,26501.544233763416,31995.202166666662,2020.7458404301105
Acadia Power Partners CC CT11,1373419.4954316919,1197708.9220517986,1156032.0185732231,1007514.0886020018,1213006.120544275,1363878.8534703413,1884499.887460956,1789448.5643160031,1354935.6011069478,1253718.8842408517,1422965.982691992,1568137.9489407362,1878667.4452415316,1392516.7374551254,1560429.5955646145,1445243.404768771,1523851.8659750135,1530504.2761399923,2089684.084114606,1900239.917412016,1487420.399135667,1352617.305234211,1278556.5992787178,1313899.1036706911
Acadia Power Partners CC CT12,1373419.4954316919,1197708.9220517986,1156032.0185732231,1007514.0886020018,1213006.120544275,1363878.8534703413,1884499.887460956,1789448.5643160031,1354935.6011069478,1253718.8842408517,1422965.982691992,1568137.9489407362,1878667.4452415316,1392516.7374551254,1560429.5955646145,1445243.404768771,1523851.8659750135,1530504.2761399923,2089684.084114606,1900239.917412016,1487420.399135667,1352617.305234211,1278556.5992787178,1313899.1036706911
Acadia Power Partners CC CT24,1128525.4476385466,984145.7776703103,949900.2712458041,827864.5320120011,996715.3369591942,1120685.994888673,1548475.237278616,1470372.4890960027,1113337.4113638913,1030168.619097759,1169237.3145519933,1288523.7079229695,1543682.7762072573,1144217.465754529,1282189.8288909048,1187542.4557015495,1252134.2640791265,1257600.4848399935,1717073.0969617818,1561408.6668720134,1222198.8819473332,1111432.4901826787,1050577.5280834404,1079618.120358624
Acadia Power Partners CC CT25,1166098.2330533857,1016911.629958977,981525.9639864494,855427.2037080019,1029899.6763585492,1157997.7759313402,1600029.704155907,1519326.626664003,1150404.5308861139,1064466.7419690285,1208165.548567993,1331423.4270928185,1595077.684333064,1182312.6964811957,1324878.6698052278,1227080.135558439,1293822.4440960297,1299470.6555599933,1774240.810059202,1613393.735448014,1262890.4023926673,1148436.1878344207,1085555.1390065518,1115562.5999900643
