Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
A B Brown ST 1,442995.9938377949,291581.43407166656,192378.75483354827,685175.2515999994,688674.1778715064,740638.4187300003,753152.3206977784,652621.3118543548,609834.2608399986,396046.92683123704,772774.5381943551,604134.2104349991,264151.7235790328,294016.7340716665,191202.75483354816,691104.3074599995,706563.8113720987,762680.0174191927,744995.3498244447,649380.9840654853,603832.2297155553,401456.879720805,772774.5381943546,604134.2104349995,270366.014103011,292799.08407166717,191790.7548335485,688120.17953,697524.1255861309,751618.6178561309,749016.9234488886,650997.9840654846,606901.6108399992,398743.32827602164
A B Brown ST 2,471208.0322344077,308198.5660133333,203680.6131477417,713057.8874649995,728291.4600326896,783420.1917567749,774488.960976112,667876.0610787097,624534.3547294429,432274.6262340867,797826.6381836563,637111.542339999,285149.8774449467,310974.06452,202357.61314774182,719280.8874649992,747563.050088281,807026.0952532254,766007.3149866669,664450.810617098,618048.6733244442,438066.4976634395,797826.638183656,637111.5423399995,292000.03032591403,309584.9145200007,203019.11314774206,716169.3874649999,737824.3629136584,795135.0856129047,770240.9149866665,666148.7107709687,621287.5372822215,435160.77385365614
A.J. Mihm Generating Station IC M1,13204.782327367739,10599.297782033336,27050.584549470965,13186.50462293336,17084.60367865806,22435.791965316093,30940.604518900003,13507.727605729066,15331.84580246669,6642.318891961302,46180.14086796128,17960.280611699978,12841.392738541923,10694.09178203333,26948.10454947097,13361.294315733328,17586.13081984513,23180.57952990965,30683.672518900003,13339.36760572908,14925.853498933364,6752.4848919613,46180.140867961265,17960.280611699978,13017.894464425797,10646.694782033333,26999.344549471003,13272.4700848,17331.323392387065,22803.976747612935,30812.138518900018,13423.547605729109,15131.411650700007,6697.401891961308
A.J. Mihm Generating Station IC M2,13204.782327367739,10599.297782033336,27050.584549470965,13186.50462293336,17084.60367865806,22435.791965316093,30940.604518900003,13507.727605729066,15331.84580246669,6642.318891961302,46180.14086796128,17960.280611699978,12841.392738541923,10694.09178203333,26948.10454947097,13361.294315733328,17586.13081984513,23180.57952990965,30683.672518900003,13339.36760572908,14925.853498933364,6752.4848919613,46180.140867961265,17960.280611699978,13017.894464425797,10646.694782033333,26999.344549471003,13272.4700848,17331.323392387065,22803.976747612935,30812.138518900018,13423.547605729109,15131.411650700007,6697.401891961308
A.J. Mihm Generating Station IC M3,13204.782327367739,10599.297782033336,27050.584549470965,13186.50462293336,17084.60367865806,22435.791965316093,30940.604518900003,13507.727605729066,15331.84580246669,6642.318891961302,46180.14086796128,17960.280611699978,12841.392738541923,10694.09178203333,26948.10454947097,13361.294315733328,17586.13081984513,23180.57952990965,30683.672518900003,13339.36760572908,14925.853498933364,6752.4848919613,46180.140867961265,17960.280611699978,13017.894464425797,10646.694782033333,26999.344549471003,13272.4700848,17331.323392387065,22803.976747612935,30812.138518900018,13423.547605729109,15131.411650700007,6697.401891961308
A.L. Pierce CT 4,75402.75350654824,282.2287465555546,52179.32694936559,43522.612750222215,9688.97566858062,207525.78607010742,4557.548614666659,0.0,27636.754813555628,311928.4551364189,345606.86885408557,119811.52273828542,74964.9770994191,261.4167465555547,52389.83922061289,43704.24475022221,10307.659668580629,210628.6660701076,4895.270614666664,53370.288685408595,28733.944323333373,323459.25097755913,345606.86885408533,119811.52273828542,75203.3690994191,271.82274655555557,52277.96108498924,43613.42875022219,10001.155668580628,209077.22607010737,4727.828614666658,52274.49425946237,28188.660568444524,317735.00313642016
Aberdeen CT 2,277139.7937870958,342883.3351,386699.6704451607,221426.72799999965,310179.6791419361,384283.1765806455,203162.3699333332,411599.59364193527,369639.8999666667,292414.7932774191,365157.96368387114,259054.1616571435,254475.52958064596,345219.3415333332,383413.93178709655,227846.18026666745,329307.89875161205,414629.28378387075,203662.5573333333,418694.92379999947,374460.2916000007,295416.5109935483,365157.96368387114,259054.1616571435,265503.1503677417,344035.30836666643,385097.50311290286,224698.56533333345,319559.8310612901,398931.27801290294,203495.09906666604,415052.7714193546,372049.49996666703,293997.5521354834
Aberdeen CT GT1,2310.2017595698926,43354.20866000001,51541.47817225808,19381.95342222222,4575.556891612901,44792.43334322581,4729.081591111111,27524.18767376343,27820.80966000002,2228.3552004301073,11005.76138817205,7434.274533333337,2243.561759569893,43419.728659999986,51458.31817225806,19433.753422222217,4720.036891612905,44999.0733432258,4730.761591111113,27767.58672559142,27901.449660000006,2237.8752004301077,11005.76138817205,7434.274533333337,2277.1617595698935,43386.96865999999,51501.43817225806,19408.553422222227,4647.796891612899,44896.5933432258,4730.201591111114,27644.30767376344,27861.12966000002,2233.39520043011
Acadia Power Partners CC CT11,1307609.387095715,1097367.436088,1263633.0101785152,1302148.0087373378,1734139.285166849,1764921.164676012,1540413.280358953,1400447.075944522,1356369.947084989,1449864.043098677,1858585.302547494,1444158.8219151166,1224794.9158470253,1116658.3927459922,1253131.1558298809,1327897.304982007,1796821.1264804923,1838023.6286760108,1499941.3584100022,1371101.9130228362,1286355.6216291133,1470639.0370852803,1858585.302547494,1444158.8219151166,1266901.3699299195,1107003.7029169984,1258370.545369334,1314985.6586993388,1765472.0178236663,1801472.39667601,1519980.8068727273,1385729.7079780828,1314735.5027898904,1460238.2390986802
Acadia Power Partners CC CT12,1307609.387095715,1097367.436088,1263633.0101785152,1302148.0087373378,1734139.285166849,1764921.164676012,1540413.280358953,1400447.075944522,1356369.947084989,1449864.043098677,1858585.302547494,1444158.8219151166,1224794.9158470253,1116658.3927459922,1253131.1558298809,1327897.304982007,1796821.1264804923,1838023.6286760108,1499941.3584100022,1371101.9130228362,1286355.6216291133,1470639.0370852803,1858585.302547494,1444158.8219151166,1266901.3699299195,1107003.7029169984,1258370.545369334,1314985.6586993388,1765472.0178236663,1801472.39667601,1519980.8068727273,1385729.7079780828,1314735.5027898904,1460238.2390986802
