Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
A B Brown ST 1,2522332.03061,1184988.2023000002,1041096.777735,1565877.2673250001,1946766.3323500003,1176524.000855,1371200.63409,1591269.8716600002,1455842.64854,1625126.67744,2369976.4046000005,1692840.289,922597.957505,507852.0867,744849.72716,600958.302595,313175.453465,457066.87803,922597.957505,507852.0867,651743.511265,482459.482365,524780.48959,228533.439015,330103.856355,186212.43179,186212.43179,338568.0578,304711.25202,397817.46791500004,956454.7632850001,660207.71271,211605.036125,710992.92138,380889.065025,330103.856355
A B Brown ST 2,2636857.3056,1236026.862,1071223.2804,1648035.816,2068284.9490800002,1219546.50384,1442031.339,1656275.99508,1507952.77164,1738677.78588,2505014.44032,1845800.11392,1005301.8477599999,527371.46112,799297.37076,667454.5054799999,321366.98412000004,453209.8494,988821.4896,568572.35652,667454.5054799999,502650.92387999996,527371.46112,238965.19332,362567.87951999996,197764.29791999998,197764.29791999998,337847.34228,313126.80504,412008.954,972341.13144,659214.3264,214244.65608,758096.4753599999,412008.954,354327.70044
A.J. Mihm Generating Station IC M1,101970.06877980001,32116.557096000004,13649.536765800001,24087.417822,44963.1799344,25693.2456768,31313.643168600003,48977.7495714,23284.5038946,33722.384950800006,48174.835644,25693.2456768,40145.696370000005,26496.159604200002,20875.762112400003,21678.676039800004,3211.6557096,3211.6557096,34525.2988782,8832.0532014,7226.225346600001,9634.9671288,3211.6557096,4817.4835644,15255.364620600001,5620.3974918,10437.881056200002,9634.9671288,12043.708911,16058.278548000002,28101.987459000004,25693.2456768,6423.3114192,25693.2456768,7226.225346600001,32116.557096000004
A.J. Mihm Generating Station IC M2,101970.06877980001,32116.557096000004,13649.536765800001,24087.417822,44963.1799344,25693.2456768,31313.643168600003,48977.7495714,23284.5038946,33722.384950800006,48174.835644,25693.2456768,40145.696370000005,26496.159604200002,20875.762112400003,21678.676039800004,3211.6557096,3211.6557096,34525.2988782,8832.0532014,7226.225346600001,9634.9671288,3211.6557096,4817.4835644,15255.364620600001,5620.3974918,10437.881056200002,9634.9671288,12043.708911,16058.278548000002,28101.987459000004,25693.2456768,6423.3114192,25693.2456768,7226.225346600001,32116.557096000004
A.J. Mihm Generating Station IC M3,101970.06877980001,32116.557096000004,13649.536765800001,24087.417822,44963.1799344,25693.2456768,31313.643168600003,48977.7495714,23284.5038946,33722.384950800006,48174.835644,25693.2456768,40145.696370000005,26496.159604200002,20875.762112400003,21678.676039800004,3211.6557096,3211.6557096,34525.2988782,8832.0532014,7226.225346600001,9634.9671288,3211.6557096,4817.4835644,15255.364620600001,5620.3974918,10437.881056200002,9634.9671288,12043.708911,16058.278548000002,28101.987459000004,25693.2456768,6423.3114192,25693.2456768,7226.225346600001,32116.557096000004
A.L. Pierce CT 4,3200637.962742,401906.593495,29229.570435999998,474980.519585,36536.963045,58459.140871999996,109610.88913499999,306910.489578,189992.20783399997,116918.28174399999,1125338.4617859998,416521.378713,884194.5056889999,124225.674353,248451.348706,0.0,0.0,14614.785217999999,36536.963045,21922.177827,14614.785217999999,0.0,138840.45957099998,723431.868291,36536.963045,0.0,0.0,0.0,65766.533481,21922.177827,65766.533481,80381.318699,36536.963045,94996.10391699999,51151.748262999994,526132.267848
Aberdeen CT 2,380390.40270000004,258533.73690000002,49401.351,130090.22430000002,214072.521,217365.9444,424851.6186,278294.2773,169611.3051,507187.20360000007,546708.2844000001,449552.29410000006,360629.86230000004,179491.57530000003,261827.1603,181138.287,225599.50290000002,130090.22430000002,199252.11570000002,181138.287,156437.6115,95509.2786,148204.053,77395.4499,74102.0265,116916.53070000002,123503.37750000002,72455.31480000001,110329.6839,88922.4318,159731.0349,209132.38590000002,123503.37750000002,347456.16870000004,146557.3413,138323.78280000002
Aberdeen CT GT1,20493.5913,16394.87304,16394.87304,36888.46434,16394.87304,20493.5913,24592.309559999998,0.0,8197.43652,57382.05563999999,36888.46434,8197.43652,8197.43652,16394.87304,8197.43652,36888.46434,45085.900859999994,65579.49216,32789.74608,20493.5913,32789.74608,20493.5913,28691.027819999996,4098.71826,4098.71826,8197.43652,12296.154779999999,8197.43652,4098.71826,4098.71826,36888.46434,8197.43652,16394.87304,57382.05563999999,8197.43652,8197.43652
Acadia Power Partners CC CT11,2646884.5624425,2299354.6809615,2602433.065974,2735787.5553794997,2420586.0349665,2513530.073037,2699418.1491779997,2788321.1421149997,2667089.78811,2937839.8120544995,2889347.2704525,2954003.9925884996,2772156.9615809997,2452914.3960344996,2804485.3226489997,2481201.711969,2303395.726095,1842716.5808759998,2218533.7782914997,1887168.0773445,1951824.7994805,2000317.3410825,2230656.913692,1826552.4003419997,1596212.8277325,998138.1479745001,731429.1691635,355611.971748,828414.2523675,945604.561239,1491145.6542614999,1442653.1126595,1050671.73471,1547720.2861305,1571966.5569314999,2283190.5004275
Acadia Power Partners CC CT12,2646884.5624425,2299354.6809615,2602433.065974,2735787.5553794997,2420586.0349665,2513530.073037,2699418.1491779997,2788321.1421149997,2667089.78811,2937839.8120544995,2889347.2704525,2954003.9925884996,2772156.9615809997,2452914.3960344996,2804485.3226489997,2481201.711969,2303395.726095,1842716.5808759998,2218533.7782914997,1887168.0773445,1951824.7994805,2000317.3410825,2230656.913692,1826552.4003419997,1596212.8277325,998138.1479745001,731429.1691635,355611.971748,828414.2523675,945604.561239,1491145.6542614999,1442653.1126595,1050671.73471,1547720.2861305,1571966.5569314999,2283190.5004275
