Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
A B Brown ST 1,2292456.969390001,595439.0476999993,447405.62226500013,611374.0326749987,1627215.2676500003,750498.9991450005,661363.465910001,755011.82834,1165721.0514600007,711264.3725600012,792437.0454000002,509239.3110000009,781354.9924949997,208432.36329999997,262849.97284000006,293274.5474049996,167394.49653499993,287806.62196999986,640675.9924950001,238199.8633000002,696319.9887349998,604968.1176349996,600249.7104099999,132674.96098499995,317703.09364499996,127110.71820999996,107848.81820999994,297559.74220000027,239347.99798,265515.1320849997,692076.7367149987,381867.93729000015,148954.113875,411111.97862000065,118295.98497499997,222917.49364499998
A B Brown ST 2,2361414.6444,627759.1879999994,475907.6196000003,654332.0839999984,1681239.1509200009,782801.7461600001,698854.6110000012,798751.4049200004,1205101.2783600013,756223.3641199998,857995.2096800013,556699.2860800009,807394.3522399996,222551.48887999984,283710.4292400001,310127.3445199997,175831.11587999994,300047.5505999999,666521.0104000003,252596.59347999992,713946.1445199997,617905.5761199999,614350.58888,138878.70668000003,327121.82048,132123.30208,113013.30207999994,306615.3577200002,247707.59496000002,276257.29599999986,717877.1185599988,399653.62360000017,154695.94392000005,430770.9246400007,128889.79600000009,231842.14955999987
A.J. Mihm Generating Station IC M1,77394.63622019997,23132.240904,2899.7022342,14585.240178000004,26855.170065600003,10406.432323199999,12024.965831399972,17315.64742860001,28692.80310540001,12581.73904920002,16375.486356000009,5000.978323200001,44904.46863,15541.136395800007,11263.246887599995,8797.960960200006,7647.9302904,1885.6262904,25808.154121800006,3231.855798599998,11734.9536534,10526.1428712,9660.9302904,3141.1864355999996,14803.117379399999,4265.994508199998,4267.0839438,4617.438871199998,5791.288089000003,6428.761451999999,21894.344541000006,13237.442323199994,3975.2975808,17197.379323200006,2223.8946533999997,15051.326904000001
A.J. Mihm Generating Station IC M2,77394.63622019997,23132.240904,2899.7022342,14585.240178000004,26855.170065600003,10406.432323199999,12024.965831399972,17315.64742860001,28692.80310540001,12581.73904920002,16375.486356000009,5000.978323200001,44904.46863,15541.136395800007,11263.246887599995,8797.960960200006,7647.9302904,1885.6262904,25808.154121800006,3231.855798599998,11734.9536534,10526.1428712,9660.9302904,3141.1864355999996,14803.117379399999,4265.994508199998,4267.0839438,4617.438871199998,5791.288089000003,6428.761451999999,21894.344541000006,13237.442323199994,3975.2975808,17197.379323200006,2223.8946533999997,15051.326904000001
A.J. Mihm Generating Station IC M3,77394.63622019997,23132.240904,2899.7022342,14585.240178000004,26855.170065600003,10406.432323199999,12024.965831399972,17315.64742860001,28692.80310540001,12581.73904920002,16375.486356000009,5000.978323200001,44904.46863,15541.136395800007,11263.246887599995,8797.960960200006,7647.9302904,1885.6262904,25808.154121800006,3231.855798599998,11734.9536534,10526.1428712,9660.9302904,3141.1864355999996,14803.117379399999,4265.994508199998,4267.0839438,4617.438871199998,5791.288089000003,6428.761451999999,21894.344541000006,13237.442323199994,3975.2975808,17197.379323200006,2223.8946533999997,15051.326904000001
A.L. Pierce CT 4,3167355.361258003,104004.74650499987,45650.113564000014,125082.41641499999,48432.756955000004,41106.41312799999,73615.12086499999,236190.002422,535768.586166,61778.28025600001,368306.6142139996,96144.40128699999,372438.7843109999,34077.019646999994,62342.761294000054,0.0,0.0,2946.758781999999,9265.518955,3315.210173000003,2702.6907819999997,0.0,34567.96242900001,312816.5317090001,10968.318955000002,0.0,0.0,0.0,32322.314518999978,18718.928173,28349.114518999995,34547.275301,24119.610954999996,27259.260083000016,4090.8677370000078,131291.3781519999
Aberdeen CT 2,346335.5972999995,225101.6631,105125.64899999998,178627.17569999996,171083.6789999999,169751.0556000001,240802.18140000018,109509.72269999975,142181.6948999999,485800.796400001,438129.9155999995,276864.7058999997,205044.7376999996,147475.42469999992,193585.43969999987,311078.313,352925.8970999999,307414.17569999996,353498.48429999984,260741.91300000006,210357.98849999992,176393.32139999996,226601.5469999998,78726.95010000002,59835.973499999964,125565.06929999996,142093.2225000002,89025.08520000002,103581.11610000001,73520.96819999996,213059.76510000005,104327.4141000002,133642.82249999995,430031.6313000001,107061.45869999981,94254.81720000005
Aberdeen CT GT1,10825.808699999998,7008.366959999999,12953.886960000003,10851.535660000001,11665.326960000002,18782.0087,3943.0504400000027,0.0,4366.723480000001,29611.704360000003,28825.015660000012,2177.12348,5129.44348,11916.486960000006,1977.4834800000008,42303.37566,50507.21913999999,58082.78784000003,47719.77392000001,43310.8487,11294.853919999994,26881.568700000003,31411.252179999996,361.96174000000065,115.00174000000061,6471.76348,8188.365219999998,2248.243480000001,1541.3217400000003,1986.8017400000008,31712.935659999996,2626.243480000001,4947.006959999999,31261.744360000026,6927.04348,979.8434799999995
Acadia Power Partners CC CT11,2273024.6685575005,590524.1800384969,678975.4850260024,1428363.134620498,1505877.250033495,1290285.159963002,1413494.0838219994,1527305.5008849977,1703009.5718900003,1469410.5509454939,1926244.793547506,1516240.7484115018,1076864.2194190016,632407.9309655018,843225.690351,846782.2300309995,703700.4959049998,461415.2771239979,1060197.296708501,585906.7846555035,845058.8515194997,772743.3239175004,785175.9043080001,385214.7236579987,469318.6632675023,292949.7860254991,188513.10083649936,182744.93425199983,339556.86663249996,304168.77176099946,928717.4427385007,677267.1683405023,280543.5402900004,815756.1488694996,400606.5700684986,800619.0935725025
Acadia Power Partners CC CT12,2273024.6685575005,590524.1800384969,678975.4850260024,1428363.134620498,1505877.250033495,1290285.159963002,1413494.0838219994,1527305.5008849977,1703009.5718900003,1469410.5509454939,1926244.793547506,1516240.7484115018,1076864.2194190016,632407.9309655018,843225.690351,846782.2300309995,703700.4959049998,461415.2771239979,1060197.296708501,585906.7846555035,845058.8515194997,772743.3239175004,785175.9043080001,385214.7236579987,469318.6632675023,292949.7860254991,188513.10083649936,182744.93425199983,339556.86663249996,304168.77176099946,928717.4427385007,677267.1683405023,280543.5402900004,815756.1488694996,400606.5700684986,800619.0935725025
