Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
Monroe (MI) ST 4,11059855.463429999,9098888.18268,10542160.101311998,9255765.56514,10714725.222018,9365579.732862,7012418.9959619995,10149966.645162,9836211.880242,11373610.228349999,9334204.256369999,10385282.718852,10134278.906916,9240077.826894,10416658.195344,9459706.162337998,10997104.510445999,9851899.618487999,10165654.383407999,10087215.692178,9522457.115322,11436361.181333998,9334204.256369999,10385282.718852,10918665.819215998,9193014.612156,10510784.62482,9381267.471108,10887290.342724,9632271.283044,10197029.8599,10087215.692178,9616583.544798,11389297.966596
Montour ST 1,1501331.1321600003,3069388.092416,2402129.811456,2335403.9833600004,3536468.8890880006,3002662.2643200005,2735758.951936,2135226.4990720004,2402129.811456,1768234.4445440003,2902573.5221760003,2435492.725504,1668145.7024000003,3102751.0064640003,2435492.725504,2402129.811456,3903460.9436160005,3536468.8890880006,2735758.951936,2135226.4990720004,2435492.725504,2001774.8428800001,2902573.5221760003,2435492.725504,1601419.874304,3069388.092416,2435492.725504,2402129.811456,3736646.3733760007,3136113.920512,2735758.951936,2135226.4990720004,2435492.725504,1935049.014784
Montour ST 2,1985432.277881,3237781.8685443997,2871240.5249356,2657424.7411638,4367951.0113381995,3665413.4360879995,3298872.0924791996,2260338.2855876,2993420.9728052,2504699.1813268,3237781.8685443997,2626879.6291964,2199248.0616528,3482142.7642836,2901785.636903,2810150.3010007995,4765037.4669143995,4245770.5634686,3329417.2044466,2321428.5095224,3085056.3087073998,3085056.3087073998,3237781.8685443997,2626879.6291964,2107612.7257506,3359962.316414,2871240.5249356,2718514.9650986,4581766.79511,3940319.4437945997,3329417.2044466,2290883.397555,3085056.3087073998,2871240.5249356
Montpelier Generating Station CT GT1,400733.398205,337639.20359399996,533742.781439,417785.88323499996,615594.709583,634352.4431159999,381975.66467200004,211450.814372,284776.50000099995,676983.6556909999,818519.28144,770772.323356,480880.077846,381975.66467200004,564437.254493,443364.61078,654815.4251519999,697446.6377269999,383680.913175,219977.05688699998,300123.736528,750309.34132,818519.28144,770772.323356,434838.36826499994,356396.937127,545679.52096,428017.37425299996,637762.940122,665046.91617,381975.66467200004,216566.559881,295007.991019,717909.6197629999
Montpelier Generating Station CT GT2,388711.581274,325072.959561,498789.19720999995,412791.05976,612306.738644,632946.2916319999,376671.84203099995,206395.52988,278633.965338,669065.509361,804942.566532,760223.5350579999,462669.979481,369791.991035,545228.191433,443750.38924199995,650145.919122,689705.0623489999,378391.80477999995,214995.343625,285513.816334,739583.98207,804942.566532,760223.5350579999,417950.94800699997,349152.438047,526308.601194,421390.87350499997,631226.328883,658745.7328669999,378391.80477999995,211555.41812699998,283793.853585,708624.6525879999
Montpelier Generating Station CT GT3,400810.043925,337703.78169000003,533844.867015,417865.79047500005,615712.450455,634473.7716600001,382048.72271999996,211491.25722,284830.967385,677113.1380350001,818675.8344,770919.74406,480972.05271,382048.72271999996,564545.210805,443449.4103,654940.66752,697580.033895,382048.72271999996,220019.13049500002,300181.13928,750452.8482,818675.8344,770919.74406,434921.537025,356465.102895,545783.8896000001,428099.238405,636179.3463150001,665174.11545,382048.72271999996,216607.981185,291653.26600500004,718046.9297549999
Montpelier Generating Station CT GT4,468345.092072,397929.57123600005,625551.836264,447056.678796,637014.828028,661578.381808,388104.149724,235810.11628800002,327514.0504,720530.91088,915401.7708680001,862999.5228040001,545310.893916,451969.38955200004,643565.1090360001,465069.951568,682866.795084,728718.76214,388104.149724,252185.81880800004,335701.90166000003,790946.4317160001,915401.7708680001,862999.5228040001,509284.34837200004,417580.41426,635377.2577760001,450331.81930000003,661578.381808,704155.20836,388104.149724,247273.10805200003,332426.761156,766382.877936
Mooreland ST 1,143511.2005,129972.408,146218.959,70401.72099999999,105602.5815,119141.374,92063.78899999999,186835.3365,135387.925,151634.476,186835.3365,108310.34,132680.1665,129972.408,143511.2005,70401.72099999999,111018.0985,124556.891,92063.78899999999,189543.095,140803.44199999998,151634.476,186835.3365,108310.34,143511.2005,129972.408,146218.959,70401.72099999999,108310.34,119141.374,92063.78899999999,186835.3365,138095.68349999998,151634.476
Mooreland ST 2,372676.913004,344550.353532,386740.19273999997,189854.276436,288297.234588,309392.154192,246107.39538,499246.43062799994,386740.19273999997,414866.75221199996,520341.350232,288297.234588,372676.913004,344550.353532,386740.19273999997,196885.916304,309392.154192,351581.9934,246107.39538,506278.070496,393771.832608,414866.75221199996,520341.350232,288297.234588,372676.913004,344550.353532,386740.19273999997,189854.276436,295328.874456,330487.073796,246107.39538,499246.43062799994,393771.832608,414866.75221199996
Mooreland ST 3,400225.4137,362468.2992,415328.25950000004,196336.9954,302056.91599999997,332262.60760000005,256748.3786,521048.1801,392673.9908,422879.6824,528599.603,302056.91599999997,370019.7221,362468.2992,407776.83660000004,203888.41830000002,309608.33890000003,347365.4534,256748.3786,536151.0259,407776.83660000004,430431.10530000005,528599.603,302056.91599999997,400225.4137,362468.2992,407776.83660000004,203888.41830000002,302056.91599999997,332262.60760000005,256748.3786,528599.603,400225.4137,430431.10530000005
