Unit Name,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
A B Brown ST 1,-352754.1111075603,-478499.3126496449,-603371.350111807,-84905.4951213121,-107075.92707384878,-55111.686215354945,-16928.426023532986,-143128.7930910004,-160246.48588131287,-399703.1781141183,-25155.704024822917,-116576.97608554899,-533778.5186401453,-478173.82291463495,-606727.4873856299,-81086.24952630186,-91366.43084707938,-35250.224799985415,-27195.2071618567,-148549.25815369282,-168358.32727074611,-396473.36249837314,-25155.704024823615,-116576.97608554852,-527564.2281161671,-479391.4729146343,-606139.4873856297,-84070.37745630147,-100406.11663304723,-46311.62436304719,-23173.633537412854,-146932.25815369352,-165288.94614630227,-399186.91394315654
A B Brown ST 2,-324542.0727109475,-461882.1807079782,-592069.4917976134,-57022.8592563119,-67458.64491266571,-12329.913188580424,4408.2142548005795,-127874.04386664554,-145546.39199186862,-363475.4787112685,-103.60403552185744,-83599.64418054908,-512780.3647742314,-461216.4924663015,-595572.6290714364,-52909.66952130222,-50367.192130897194,9095.853034047293,-6183.241999634542,-133479.43160208012,-154141.88366185722,-359863.7445557386,-103.60403552220669,-83599.6441805485,-505930.2118932641,-462605.64246630075,-594911.1290714361,-56021.169521301636,-60105.87930551963,-2795.156606273493,-1949.641999634914,-131781.53144820943,-150903.01970407995,-362769.4683655219
A.J. Mihm Generating Station IC M1,-2908.825472632263,-4994.516217966666,10936.97674947096,-2407.309377066642,970.9958786580573,6322.184165316092,15346.790518900001,-2605.880194270936,-261.9681975333133,-9471.2889080387,30022.386197276348,3366.1796188232656,-3316.3619321430087,-4942.444996048862,10790.349878786032,-2275.242462348864,1428.3761491602,7022.824859224716,15047.135740817814,-2818.387064955854,-710.6832791488287,-9405.269778723632,30022.38619727634,3366.1796188232656,-3139.860206259138,-4989.841996048861,10841.589878786073,-2364.0666932821932,1173.5687217021277,6646.2220769279975,15175.601740817821,-2734.2070649558245,-505.1251273821854,-9460.352778723623
A.J. Mihm Generating Station IC M2,-2908.825472632263,-4994.516217966666,10936.97674947096,-2407.309377066642,970.9958786580573,6322.184165316092,15346.790518900001,-2605.880194270936,-261.9681975333133,-9471.2889080387,30022.386197276348,3366.1796188232656,-3316.3619321430087,-4942.444996048862,10790.349878786032,-2275.242462348864,1428.3761491602,7022.824859224716,15047.135740817814,-2818.387064955854,-710.6832791488287,-9405.269778723632,30022.38619727634,3366.1796188232656,-3139.860206259138,-4989.841996048861,10841.589878786073,-2364.0666932821932,1173.5687217021277,6646.2220769279975,15175.601740817821,-2734.2070649558245,-505.1251273821854,-9460.352778723623
A.J. Mihm Generating Station IC M3,-2908.825472632263,-4994.516217966666,10936.97674947096,-2407.309377066642,970.9958786580573,6322.184165316092,15346.790518900001,-2605.880194270936,-261.9681975333133,-9471.2889080387,30022.386197276348,3366.1796188232656,-3316.3619321430087,-4942.444996048862,10790.349878786032,-2275.242462348864,1428.3761491602,7022.824859224716,15047.135740817814,-2818.387064955854,-710.6832791488287,-9405.269778723632,30022.38619727634,3366.1796188232656,-3139.860206259138,-4989.841996048861,10841.589878786073,-2364.0666932821932,1173.5687217021277,6646.2220769279975,15175.601740817821,-2734.2070649558245,-505.1251273821854,-9460.352778723623
A.L. Pierce CT 4,44449.168519116545,-29672.853499346085,21225.74196193389,13567.530504320577,-21264.60931885107,176572.20108267578,-25397.53363123498,-30953.584987431692,-2318.3274323460064,280974.8701489872,314568.47952422255,91776.84850486077,43926.58776955609,-29775.734217828005,21351.44989074988,13667.093785838653,-20730.729661282385,179590.2767402446,-25141.880349716896,22331.89935554559,-1303.2066410501866,292420.8616476961,314568.4795242223,91776.84850486077,44164.979769556085,-29765.328217828002,21239.571755126228,13576.277785838625,-21037.233661282386,178038.83674024433,-25309.322349716902,21236.104929599358,-1848.4903959390322,286696.61380655714
Aberdeen CT 2,218094.12427889902,285742.3646081967,327654.000936964,164285.75750819637,251134.00963373933,325237.5070724488,146021.3994415299,352553.9241337386,312498.9294748634,233369.12376922238,305950.5252181177,205576.47530097913,195268.0911148926,287921.82043744274,324206.4933213431,170548.659170777,270100.4602858586,355421.84531811735,146365.03623744287,359487.485334246,317162.77050411026,236209.07252779484,305950.5252181177,205576.47530097913,206295.71190198828,286737.787270776,325890.0646471494,167401.044237443,260352.3925955367,339723.83954714943,146197.57797077566,355845.33295360114,314751.9788707766,234790.11366973
Aberdeen CT GT1,-25244.44401092191,16688.422430491813,23986.832401766285,-7283.832807285977,-22979.0888788789,17237.78757273401,-21936.70463839709,-30.458096728369128,1155.023430491823,-25326.290570061698,-16624.37656251288,-17521.979099543372,-25386.576191115037,16680.8854819178,23828.180221573133,-7305.089755859975,-22910.101059072025,17368.93539254087,-22008.08158697108,137.44877490649014,1162.6064819178173,-25392.26275025482,-16624.37656251288,-17521.979099543372,-25352.976191115038,16648.125481917792,23871.300221573136,-7330.289755859962,-22982.34105907203,17266.455392540873,-22008.641586971076,14.169723078513925,1122.2864819178285,-25396.74275025482
Acadia Power Partners CC CT11,938736.3601025455,740393.5389978361,894759.9831853458,945174.1116471739,1365266.2581736797,1396048.1376828423,1183439.3832687894,1031574.0489513525,999396.0499948253,1080991.0161055075,1488701.6645214665,1110070.3746658016,854911.2778209976,758706.4849788689,883247.5178038534,969945.3972148837,1426937.488454465,1468139.9906499835,1141989.450642879,1001218.2749968087,928403.7138619898,1100755.3990592528,1488701.6645214665,1110070.3746658016,897017.731903892,749051.7951498751,888486.9073433066,957033.7509322155,1395588.3797976389,1431588.7586499825,1162028.8991056038,1015846.0699520553,956783.5950227671,1090354.6010726527
Acadia Power Partners CC CT12,938736.3601025455,740393.5389978361,894759.9831853458,945174.1116471739,1365266.2581736797,1396048.1376828423,1183439.3832687894,1031574.0489513525,999396.0499948253,1080991.0161055075,1488701.6645214665,1110070.3746658016,854911.2778209976,758706.4849788689,883247.5178038534,969945.3972148837,1426937.488454465,1468139.9906499835,1141989.450642879,1001218.2749968087,928403.7138619898,1100755.3990592528,1488701.6645214665,1110070.3746658016,897017.731903892,749051.7951498751,888486.9073433066,957033.7509322155,1395588.3797976389,1431588.7586499825,1162028.8991056038,1015846.0699520553,956783.5950227671,1090354.6010726527
