Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
A.J. Mihm Generating Station IC M3,39342.7824426,29707.8153138,24890.3317494,27299.073531600003,43357.35207960001,40948.6102974,57809.80277280001,67444.76990160001,27299.073531600003,33722.384950800006,47371.9217166,37736.954587800006,43357.35207960001,32919.4710234,36131.126733000005,32919.4710234,48174.835644,42554.438152200004,64233.11419200001,73065.1673934,31313.643168600003,36131.126733000005,44963.1799344,31313.643168600003
A.L. Pierce CT 4,1110723.6765679999,643050.549592,372677.02305899997,7307.3926089999995,65766.533481,65766.533481,109610.88913499999,292295.70436,153455.244789,80381.318699,109610.88913499999,811120.579599,1110723.6765679999,621128.3717649999,248451.348706,7307.3926089999995,65766.533481,65766.533481,109610.88913499999,299603.096969,153455.244789,80381.318699,109610.88913499999,825735.3648169999
Aberdeen CT 2,363923.2857,233833.06140000004,304641.6645000001,205838.96250000002,230539.63800000004,261827.1603,526947.7440000001,393564.0963,194311.9806,217365.9444,205838.96250000002,380390.40270000004,414971.3484,237126.48480000003,383683.8261,223952.7912,260180.44860000003,302994.9528,586229.3652,472606.2579,237126.48480000003,230539.63800000004,205838.96250000002,373803.55590000004
Aberdeen CT GT1,8197.43652,16394.87304,8197.43652,36888.46434,16394.87304,20493.5913,24592.309559999998,24592.309559999998,8197.43652,53283.33738,28691.027819999996,8197.43652,8197.43652,16394.87304,8197.43652,36888.46434,45085.900859999994,20493.5913,24592.309559999998,24592.309559999998,8197.43652,53283.33738,28691.027819999996,8197.43652
Acadia Power Partners CC CT11,2921675.6315205,2695377.1040445,2958045.037722,2671130.8332435,2000317.3410825,2614556.2013745,2962086.0828555,3006537.579324,1838675.5357424999,2816608.4580495,2602433.065974,2954003.9925884996,1919496.4384124998,2707500.239445,2982291.3085229998,2772156.9615809997,2460996.4863015,2788321.1421149997,2970168.1731224996,3006537.579324,2157918.101289,2873183.0899185003,2792362.1872485,2865100.9996515
Acadia Power Partners CC CT12,2921675.6315205,2695377.1040445,2958045.037722,2671130.8332435,2000317.3410825,2614556.2013745,2962086.0828555,3006537.579324,1838675.5357424999,2816608.4580495,2602433.065974,2954003.9925884996,1919496.4384124998,2707500.239445,2982291.3085229998,2772156.9615809997,2460996.4863015,2788321.1421149997,2970168.1731224996,3006537.579324,2157918.101289,2873183.0899185003,2792362.1872485,2865100.9996515
Acadia Power Partners CC CT24,2400712.463223,2214765.163167,2430596.850732,2194842.238161,1643641.312995,2148355.413147,2433917.338233,2470442.700744,1510821.812955,2314379.788197,2138393.950644,2427276.3632309996,1577231.562975,2224726.62567,2450519.775738,2277854.425686,2022176.888109,2291136.3756899997,2440558.313235,2470442.700744,1773140.3255339998,2360866.613211,2294456.863191,2354225.6382089998
Acadia Power Partners CC CT25,2480641.0589070003,2288502.8856030004,2511520.4081880003,2267916.652749,1698364.2104550002,2219882.1094230004,2514951.4469970004,2552692.8738960004,1561122.658095,2391434.049873,2209588.992996,2508089.3693790003,1629743.4342750001,2298796.0020300006,2532106.641042,2353692.622974,2089502.6346810004,2367416.77821,2521813.524615,2552692.8738960004,1832174.724006,2439468.593199,2370847.817019,2432606.515581
Acadia Power Partners CC ST13,3158606.8258695006,2913956.7812655005,3197925.5830380004,2887744.2764865,2162531.6442675004,2826581.7653355002,3202294.3338345,3250350.5925960005,1987781.6124075002,3045019.3051605,2813475.5129460003,3193556.8322415003,2075156.6283375002,2927063.0336550004,3224138.087817,2996963.046399,2660569.2350685005,3014438.049585,3211031.8354275003,3250350.5925960005,2332912.9253310002,3106181.8163115005,3018806.8003815003,3097444.3147185002
Acadia Power Partners CC ST26,3445493.3925210005,3178622.5350090005,3488383.3517640005,3150029.228847,2358947.758365,3083311.514469,3493148.902791,3545569.9640880004,2168325.7172850003,3321589.065819,3069014.861388,3483617.800737,2263636.737825,3192919.1880900003,3516976.657926,3269168.004522,2902220.575443,3288230.20863,3502680.004845,3545569.9640880004,2544804.248418,3388306.780197,3292995.759657,3378775.678143
ACS Crookston ST G1,29832.4556285,26966.279242,29590.2435395,27652.5468275,29146.188042999995,28863.607272499998,30034.299035999997,30034.299035999997,29025.081998499998,29670.9809025,28984.713317,29993.9303545,29913.1929915,27047.016604999997,29792.086946999996,28298.445731499996,29469.137494999995,28903.975954,30034.299035999997,30034.299035999997,29065.450679999998,29913.1929915,28984.713317,29993.9303545
