Unit Name,1-Jan-2018,1-Feb-2018,1-Mar-2018,1-Apr-2018,1-May-2018,1-Jun-2018,1-Jul-2018,1-Aug-2018,1-Sep-2018,1-Oct-2018,1-Nov-2018,1-Dec-2018,1-Jan-2019,1-Feb-2019,1-Mar-2019,1-Apr-2019,1-May-2019,1-Jun-2019,1-Jul-2019,1-Aug-2019,1-Sep-2019,1-Oct-2019,1-Nov-2019,1-Dec-2019,1-Jan-2020,1-Feb-2020,1-Mar-2020,1-Apr-2020,1-May-2020,1-Jun-2020,1-Jul-2020,1-Aug-2020,1-Sep-2020,1-Oct-2020,1-Nov-2020,1-Dec-2020
Fairless Works Energy Center CC ST2,13337420.61468606,832057.6905200558,1094641.6179213645,2172669.5358385276,1261636.7419890626,992577.5620738273,1871516.5162956663,2007016.524855956,1431155.376364326,1783897.822314064,2428574.2845802316,2030629.3963209586,2519828.7231303584,921968.6347244546,1363919.7671280606,969207.5912713334,195394.25550336286,218301.07858812597,1413543.6709029628,386617.92777546134,433757.02066272683,259651.5911244611,591214.522883225,494507.27978466183,306776.9217437449,-42359.97367363714,-89445.16912775411,-29415.570459845854,-118224.69649745408,54827.029644653754,743364.2556530447,406171.78871844517,-107480.38100634587,237180.8496185455,262864.43911655364,1177001.7738551418
Fairmont IC 10,21816.417312958893,3053.337966027396,-4700.361547041097,-357.91237068492865,3828.559866958899,-1841.1551186849329,-1447.781775041106,442.7879969589021,4652.454003315071,-1248.4708970410911,293.62503531506627,-3946.2571570410973,10236.5717369589,353.42758402739946,-1725.053913041098,-2415.053248684927,-3020.1950590410966,-4882.136646684931,3449.952728958905,-4585.483303041097,-1381.1585166849309,-1994.0996770410966,-2120.416646684932,-4620.271433041097,-455.65871255737693,-3835.2997983278697,-4201.065468557377,-3892.512881442624,-3658.6482165573766,-3245.0138734426237,2071.3493034426238,-1005.0565745573795,-4122.662385442623,401.47842544262494,-4744.228759442623,-356.6475665573789
Fairmont IC 11,21816.417312958893,3053.337966027396,-4700.361547041097,-357.91237068492865,3828.559866958899,-1841.1551186849329,-1447.781775041106,442.7879969589021,4652.454003315071,-1248.4708970410911,293.62503531506627,-3946.2571570410973,10236.5717369589,353.42758402739946,-1725.053913041098,-2415.053248684927,-3020.1950590410966,-4882.136646684931,3449.952728958905,-4585.483303041097,-1381.1585166849309,-1994.0996770410966,-2120.416646684932,-4620.271433041097,-455.65871255737693,-3835.2997983278697,-4201.065468557377,-3892.512881442624,-3658.6482165573766,-3245.0138734426237,2071.3493034426238,-1005.0565745573795,-4122.662385442623,401.47842544262494,-4744.228759442623,-356.6475665573789
Fairmont IC 12,21816.417312958893,3053.337966027396,-4700.361547041097,-357.91237068492865,3828.559866958899,-1841.1551186849329,-1447.781775041106,442.7879969589021,4652.454003315071,-1248.4708970410911,293.62503531506627,-3946.2571570410973,10236.5717369589,353.42758402739946,-1725.053913041098,-2415.053248684927,-3020.1950590410966,-4882.136646684931,3449.952728958905,-4585.483303041097,-1381.1585166849309,-1994.0996770410966,-2120.416646684932,-4620.271433041097,-455.65871255737693,-3835.2997983278697,-4201.065468557377,-3892.512881442624,-3658.6482165573766,-3245.0138734426237,2071.3493034426238,-1005.0565745573795,-4122.662385442623,401.47842544262494,-4744.228759442623,-356.6475665573789
Fairmont IC 9,21816.417312958893,3053.337966027396,-4700.361547041097,-357.91237068492865,3828.559866958899,-1841.1551186849329,-1447.781775041106,442.7879969589021,4652.454003315071,-1248.4708970410911,293.62503531506627,-3946.2571570410973,10236.5717369589,353.42758402739946,-1725.053913041098,-2415.053248684927,-3020.1950590410966,-4882.136646684931,3449.952728958905,-4585.483303041097,-1381.1585166849309,-1994.0996770410966,-2120.416646684932,-4620.271433041097,-455.65871255737693,-3835.2997983278697,-4201.065468557377,-3892.512881442624,-3658.6482165573766,-3245.0138734426237,2071.3493034426238,-1005.0565745573795,-4122.662385442623,401.47842544262494,-4744.228759442623,-356.6475665573789
Falling Spring IC 5,61339.47112506155,-789.8816811410954,4391.775663061646,2545.1281525274026,6916.962835261649,1537.872705427396,1231.1946177616417,1539.9749742616448,6695.3996359274015,1717.6490316616434,1066.528049827398,100.3298715616454,1239.3457446616437,78.43360585890287,994.2365271616416,790.5828565273971,-521.5998746383565,-550.4842582726026,1187.2686993616442,-470.15681723835667,3680.453246227403,4870.164182761644,2624.950557427397,-208.36734593835627,-643.2676047688523,-1005.8202228934427,-1092.9232482688526,-826.3255286311477,388.7149118311486,348.15951666885303,4649.710531131148,758.507555331149,-315.15377033114794,472.95615353114795,171.43028706885184,-329.2473177688523
Falling Spring IC 6,61339.47112506155,-789.8816811410954,4391.775663061646,2545.1281525274026,6916.962835261649,1537.872705427396,1231.1946177616417,1539.9749742616448,6695.3996359274015,1717.6490316616434,1066.528049827398,100.3298715616454,1239.3457446616437,78.43360585890287,994.2365271616416,790.5828565273971,-521.5998746383565,-550.4842582726026,1187.2686993616442,-470.15681723835667,3680.453246227403,4870.164182761644,2624.950557427397,-208.36734593835627,-643.2676047688523,-1005.8202228934427,-1092.9232482688526,-826.3255286311477,388.7149118311486,348.15951666885303,4649.710531131148,758.507555331149,-315.15377033114794,472.95615353114795,171.43028706885184,-329.2473177688523
Falling Spring IC 7,84706.88869651355,-1090.7889882424654,6064.8330585137,3514.700782061649,9551.9962963137,2123.728974161643,1700.2211388136966,2126.6321073137005,9246.02806866165,2371.991519913696,1472.8244497616452,138.5507750137001,1711.477456913699,108.31307475753374,1372.9932994136966,1091.7572780616442,-720.3045887863013,-760.1925471383557,1639.561537213699,-649.2641761863019,5082.530673361649,6725.4648238137,3624.9317221616457,-287.7453824863014,-888.3219303950817,-1388.9898316147542,-1509.2749618950822,-1141.116206204918,536.796783004919,480.7917134950819,6421.028828704915,1047.4628145049203,-435.2123495049184,653.129926304918,236.73706309508157,-454.67486739508126
Falls City IC 1,-739.3718690630138,-718.1627178246575,-680.4216542630137,-748.0762235835616,-701.7514394630138,-549.9622235835616,-871.1672246630137,-881.6910098630137,-786.9495791835616,-522.2091578630138,-366.9142235835614,-869.4452246630137,-816.5314394630138,-611.4165030246576,-867.0872246630138,-148.15529758356183,-0.5207282630142345,53.50362841643903,-17.260513463013922,-65.49408386301377,-735.8664383835617,-417.55008386301375,-283.43000878356156,-881.6910098630137,-879.2820180327869,-728.6305755016394,-751.098232832787,-831.6582967672131,-868.6322328327869,-830.722296767213,-360.69130683278695,-867.7624476327869,-791.9082967672131,-452.40795123278707,-747.2385115672132,-879.2820180327869
Falls City IC 2,-1109.0578035945207,-1077.2440767369862,-1020.6324813945206,-1122.1143353753423,-1052.6271591945206,-824.9433353753425,-1306.7508369945206,-1322.5365147945206,-1180.4243687753424,-783.3137367945208,-550.3713353753423,-1304.1678369945207,-1224.7971591945206,-917.1247545369862,-1300.6308369945207,-222.23294637534264,-0.7810923945210106,80.25544262465814,-25.89077019452111,-98.24112579452049,-1103.7996575753425,-626.3251257945203,-425.14501317534257,-1322.5365147945206,-1318.9230270491805,-1092.9458632524593,-1126.6473492491805,-1247.4874451508197,-1302.9483492491804,-1246.0834451508197,-541.0369602491805,-1301.6436714491806,-1187.86244515082,-678.6119268491809,-1120.8577673508198,-1318.9230270491805
Falls City IC 3,1496.3140372917806,976.1813800054833,-681.46351190822,800.0934330630139,-170.6325689082205,308.40835016301435,336.4033740917821,-2738.219734708219,-1136.156872636987,6379.468451791787,4002.4829563630133,-738.1927658082182,-1146.9534601082205,-432.0781173945188,-1206.339931608219,4359.442013363016,4919.761705691773,5800.537515963013,5475.9570942917835,2824.878985491776,891.8554589630144,1163.533125391782,2205.0949045630136,-2174.8075119082187,-2552.373431825684,-1218.0722570562848,-654.504488825683,-1918.6329273409835,-2202.5471831256837,-2150.8686216409833,1876.6229826743124,-1798.2578774256829,-900.6153729409834,5472.55236607432,-1262.1899273409836,-2174.183960325684
Falls City IC 4,520.4570564493149,339.5413495671239,-237.0307867506849,278.29336802191847,-59.350458750684766,107.27246962191839,117.00986924931544,-952.4242555506848,-395.1849991780824,2218.9455484493174,1392.1679848219187,-256.7627011506846,-398.94033395068504,-150.2880408328764,-419.59649795068503,1516.327656821919,1711.2214628493127,2017.5782664219191,1904.6807284493163,982.5666036493137,310.2105944219177,404.70717404931565,766.9895320219186,-756.4547867506848,-887.7820632437159,-423.67730680218597,-227.65373524371557,-667.3505834229506,-766.1033680437159,-748.1282162229505,652.7384287562832,-625.4810008437155,-313.2575210229505,1903.4964751562861,-439.0225834229509,-756.2378992437161
Falls City IC 5,910.7998487863006,594.1973617424667,-414.8038768136994,487.0133940383562,-103.86330281369942,187.72682183835605,204.76727118630197,-1666.7424472136988,-691.5737485616444,3883.154709786306,2436.293973438357,-449.33472701369897,-698.1455844136999,-263.0040714575339,-734.2938714136988,2653.5733994383554,2994.637559986296,3530.7619662383586,3333.1912747863025,1719.4915563862987,542.8685402383553,708.2375545863019,1342.2316810383559,-1323.7958768136987,-1553.6186106765026,-741.4352869038257,-398.39403667650254,-1167.863520990164,-1340.680894076503,-1309.2243783901638,1142.2922503234954,-1094.5917514765024,-548.2006617901641,3331.118831523499,-768.2895209901644,-1323.4163236765028
Falls City IC 6,1301.1426411232878,848.8533739178101,-592.576966876712,695.7334200547944,-148.3761468767134,268.18117405479506,292.5246731232892,-2381.060638876712,-987.962497945206,5547.363871123294,3480.419962054797,-641.9067528767114,-997.3508348767127,-375.7201020821908,-1048.9912448767122,3790.8191420547955,4278.053657123281,5043.945666054797,4761.701821123291,2456.4165091232844,775.5264860547945,1011.7679351232891,1917.473830054796,-1891.1369668767122,-2219.4551581092896,-1059.193267005465,-569.1343381092888,-1668.3764585573772,-1915.2584201092895,-1870.3205405573767,1631.8460718907072,-1563.7025021092886,-783.1438025573771,4758.741187890713,-1097.5564585573775,-1890.5947481092896
Falls City IC 7,3838.370791313697,2504.1174530575427,-1748.1020522863028,2052.4135891616443,-437.70963328630387,791.1344634616416,862.9477857137008,-7024.128884686303,-2914.489368938357,16364.723419813714,10267.238888061649,-1893.6249209863017,-2942.1849628863047,-1108.374301142464,-3094.5241723863037,11182.916469061642,12620.258288513674,14879.639714861652,14047.020372313707,7246.428701913685,2287.803133861642,2984.7154086136998,5656.547798661642,-5578.854052286301,-6547.392716422404,-3124.620137666121,-1678.9462974224025,-4921.710552744262,-5650.012339322406,-5517.445594644261,4813.945912077588,-4612.922381222403,-2310.274217544261,14038.286504277607,-3237.791552744261,-5577.254506922404
Falls City IC 8,3903.4279233698635,2546.560121753435,-1777.7309006301384,2087.2002601643835,-445.12844063013836,804.5435221643875,877.5740193698675,-7143.181916630137,-2963.8874938356166,16642.091613369885,10441.259886164393,-1925.7202586301355,-2992.052504630139,-1127.160306246572,-3146.973734630137,11372.45742616439,12834.16097136984,15131.836998164392,14285.105463369875,7369.249527369853,2326.5794581643804,3035.303805369869,5752.421490164388,-5673.410900630136,-6658.3654743278685,-3177.5798010163944,-1707.403014327867,-5005.12937567213,-5745.775260327869,-5610.96162167213,4895.538215672124,-4691.107506327866,-2349.431407672131,14276.223563672142,-3292.6693756721315,-5671.78424432787
Faribault Energy Park CC EU01,1418855.0426735564,442628.8970889594,86383.0960495611,382848.6288800301,686412.2521395604,347369.7044900282,441837.4167255591,641755.8296015605,530285.6462440284,679308.4796455633,882266.0064300239,499530.6685235638,878520.1735995645,469334.3620569597,349301.5545795614,342875.54809602734,43614.18531956215,-51196.47988997228,430930.56258556043,10571.634687561047,29481.22703802731,57099.203957562306,52524.604304027715,-75064.46677243836,122524.95723824075,-72092.41796338806,-51998.124221759645,-63983.05757957384,-13915.24666175933,66543.18827042612,343113.74747824034,226607.94133424055,-54359.80011757348,302451.1829902401,-25465.900901573652,305283.70923224103
Faribault Energy Park CC HRSG,841957.9374106814,262658.905964877,51260.29875468467,227184.90065408393,407321.55621468433,206131.47299408278,262189.23629868345,380822.14064268424,314674.99887008284,403106.13077868574,523542.46535408014,296424.79231068643,521319.66345468635,278506.1049568773,207277.84557468485,203464.61095808184,25880.945134685215,-30380.328725917672,255717.0371386842,6273.277726684639,17494.354506082134,33883.04410668525,31168.446510082387,-44543.74951331504,72707.11748203302,-42780.11615409839,-30856.029757967204,-37967.96823403283,-8257.399117967056,39487.16666596716,203605.96004203294,134470.6465060329,-32257.46380603261,179476.52617003262,-15111.633502032739,181157.36591803317
Fayette Energy Facility CC CTG1,8786158.516528547,1074187.9815959581,2420688.5443035644,2560410.1493260227,2603883.700993565,1666775.2904560284,1933537.6754235649,2047045.5454185535,2466652.387111027,2091192.4231935581,2544463.049326025,2024138.494303557,1718519.2954185577,1333181.959370958,1649367.8876385617,1080180.2971210263,953991.8287935625,662095.7916460279,1401618.3354585613,862206.8566185633,1542069.3216010265,1326334.314373558,1460886.8104510293,748366.0399185594,547292.0127563099,243490.5009560646,164113.60844631286,148373.52475868893,500910.55958631355,514601.8214136884,1484856.3739313097,901647.5706113128,424177.54363868857,723739.6706363134,544342.9991136887,1037475.9038363127
