Unit Name,1-Jan-2021,1-Feb-2021,1-Mar-2021,1-Apr-2021,1-May-2021,1-Jun-2021,1-Jul-2021,1-Aug-2021,1-Sep-2021,1-Oct-2021,1-Nov-2021,1-Dec-2021,1-Jan-2022,1-Feb-2022,1-Mar-2022,1-Apr-2022,1-May-2022,1-Jun-2022,1-Jul-2022,1-Aug-2022,1-Sep-2022,1-Oct-2022,1-Nov-2022,1-Dec-2022
Acadia Power Partners CC CT11,1003535.8574056646,863620.4748024836,786148.3805471957,649562.1808348787,843122.4825182476,1005926.945703218,1514616.2494349284,1419564.9262899756,996983.6933398244,883835.246214824,1065014.0749248685,1198254.3109147088,1508783.8072155043,1058428.2902058105,1190545.9575385868,1087291.4970016477,1153968.2279489862,1172552.3683728692,1719800.4460885786,1530356.2793859884,1129468.4913685436,982733.6672081836,920604.6915115945,944015.4656446637
Acadia Power Partners CC CT12,1003535.8574056646,863620.4748024836,786148.3805471957,649562.1808348787,843122.4825182476,1005926.945703218,1514616.2494349284,1419564.9262899756,996983.6933398244,883835.246214824,1065014.0749248685,1198254.3109147088,1508783.8072155043,1058428.2902058105,1190545.9575385868,1087291.4970016477,1153968.2279489862,1172552.3683728692,1719800.4460885786,1530356.2793859884,1129468.4913685436,982733.6672081836,920604.6915115945,944015.4656446637
Acadia Power Partners CC CT24,824595.6581125192,709628.5484209955,645970.4817197766,533738.9292448779,692785.5474331669,826560.3921215498,1244545.4477525884,1166442.6995699755,819211.8085967681,726238.8295717316,875111.7117848698,984593.9183969421,1239752.98668123,869700.2365052139,978260.0393648774,893416.8529344263,948204.4745530989,963474.8820728703,1413143.3074357545,1257478.877345986,928073.27918021,807502.7006566513,756451.9253163171,775688.3308325966
Acadia Power Partners CC CT25,852049.49690818,733254.7069891139,667477.2278412438,551509.0719545772,715850.9402133438,854079.6441779155,1285980.9680107012,1205277.8905187976,846486.3991326895,750418.0058238229,904247.4168145682,1017374.690947613,1281028.9481878586,898655.7735113325,1010829.9336600222,923162.0038050143,979773.7079508239,995552.5238065685,1460192.0739139963,1299344.9993028084,958972.2706392426,834387.4516892151,781637.0072531272,801513.8638448587
Acadia Power Partners CC ST13,1084916.8795499434,933655.1591294068,849900.5208358302,702237.9610100567,911494.8968309144,1087501.8714417303,1637442.9702000483,1534683.5280311266,1077833.3724284475,955509.2329620946,1151380.6291200463,1295425.8866899125,1631137.5502530094,1144260.7749025202,1287092.4299134803,1175464.622796603,1247548.4555208134,1267639.663512046,1859266.4324347954,1654459.4266151413,1221061.9303363878,1062427.7506261412,995260.4701099946,1020569.7242167274
Acadia Power Partners CC ST26,1183456.5509415115,1018456.1925614041,927094.3774503813,766020.0803787966,994283.181631192,1186276.3297154708,1786166.891126487,1674074.124115292,1175729.6706020203,1042295.2048669207,1255956.9989587856,1413085.445309285,1779288.7692321576,1248190.4702280539,1403995.0862228386,1282228.467885675,1360859.4539662194,1382775.4847347848,2028137.8978299121,1804728.900067308,1331967.2389661283,1158924.803439451,1085656.9249189007,1113264.9409214552
ACS Crookston ST G1,36153.73639516032,31960.985689986126,32324.441175128,29630.0414742314,31029.443309262555,35352.851008398065,44796.89295852057,43276.02675852061,33435.3988287869,33885.41690492392,36430.6044711202,39336.49331448286,41322.667083504326,35289.284069486326,39241.62159848833,37129.956077453724,38039.51971081091,38389.4085257869,48351.87375852055,45170.35863852058,36751.59909534243,35651.96949398857,34017.571611120424,34869.224389482966
ACS Crookston ST G2,30988.9169101374,27395.130591416688,27706.66386439542,25397.17840648407,26596.665693653616,30302.44372148406,38397.33682158906,37093.73722158909,28658.913281817353,29044.643061363364,31226.232403817303,33716.99426955672,35419.428928718,30247.957773845425,33635.67565584714,31825.676637817473,32605.302609266488,32905.20730781734,41444.46322158904,38717.45026158906,31501.370653150647,30558.830994847347,29157.918523817498,29887.906619556823
ACS Drayton ST G1,61987.2516362748,54798.774174833365,55422.66908079083,50803.08645296813,53202.53255530722,60613.99940296811,76804.15517917811,74196.95597917815,57326.989499634685,58098.652962726715,62461.61499963461,67443.45733111344,70848.301161436,60504.45402769081,67280.75638369427,63660.286819634945,65219.90833853294,65819.53931963468,82898.40797917808,77444.38205917811,63011.916986301265,61127.105293694694,58324.98723963501,59785.28203111362
ACS East Grand Forks ST G1,25829.493972614502,22834.153562847245,23094.239286162847,21169.317551236716,22169.160483044674,25257.25772207005,32003.213744657536,30916.88074465758,23887.678232347786,24209.2365553028,26027.10353151442,28102.920982130614,29521.601926431656,25211.524153204515,28035.118958205945,26526.516250681223,27176.416332722074,27426.23467984779,34542.48574465752,32269.97494465755,26256.400010958863,25471.103648206117,24303.508631514593,24912.014607130677
ACS East Grand Forks ST G2,51658.987945229004,45668.30712569449,46188.4785723257,42338.63510247343,44338.32096608935,50514.5154441401,64006.42748931507,61833.76148931516,47775.35646469557,48418.4731106056,52054.20706302884,56205.84196426123,59043.20385286331,50423.04830640903,56070.23791641189,53053.03250136244,54352.83266544415,54852.46935969558,69084.97148931504,64539.94988931512,52512.80002191773,50942.20729641225,48607.017263029185,49824.029214261354
