Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
Middletown Kleen CC U1,Gas,7,2011,New England,Connecticut,47.39,43.01,47.39,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U1,Gas,7,2011,New England,Connecticut,31.59,28.67,31.59,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U2,Gas,7,2011,New England,Connecticut,37.05,33.63,37.05,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U2,Gas,7,2011,New England,Connecticut,39.49,35.84,39.49,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U2,Gas,7,2011,New England,Connecticut,31.59,28.67,31.59,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U2,Gas,7,2011,New England,Connecticut,39.49,35.84,39.49,1.091803,25.191961,26.283764,9.870409
Middletown Kleen CC U2,Gas,7,2011,New England,Connecticut,47.39,43.01,47.39,1.091803,25.191961,26.283764,9.870409
Midlothian Energy Project CC STK1,Gas,5,2000,ERCOT,North,260,260,260,1.228546,19.449695,20.678241,9.914153
Midlothian Energy Project CC STK2,Gas,5,2000,ERCOT,North,260,260,260,1.228546,19.449695,20.678241,9.914153
Midlothian Energy Project CC STK3,Gas,7,2000,ERCOT,North,260,260,260,1.228546,19.449695,20.678241,9.914153
Midlothian Energy Project CC STK4,Gas,9,2000,ERCOT,North,259,259,259,1.228546,19.449695,20.678241,9.914153
Midlothian Energy Project CC STK5,Gas,8,2001,ERCOT,North,279,279,279,1.228546,19.449695,20.678241,9.914153
Midlothian Energy Project CC STK6,Gas,9,2001,ERCOT,North,284,284,284,1.228546,19.449695,20.678241,9.914153
Midway Peaking Project CT 1,Gas,5,2009,CAISO,NP-15,60,55.6,60,3.461907,41.166704,44.628611,3.613158
Midway Peaking Project CT 2,Gas,5,2009,CAISO,NP-15,60,55.6,60,3.461907,41.396527,44.858434,3.613158
Milam Gas Recovery IC GEN1,Gas,4,1991,MISO,Z4,0.8,0.8,0.8,11.882467,28.379247,40.261714,0.662719
Milam Gas Recovery IC GEN2,Gas,4,1991,MISO,Z4,0.8,0.8,0.8,11.882467,28.379247,40.261714,0.662719
Milam Gas Recovery IC GEN3,Gas,3,1993,MISO,Z4,0.8,0.8,0.8,11.882467,28.379247,40.261714,0.662719
Milan IC 1,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.842293,20.699988,32.542281,18.976263
Milan IC 2,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.842293,20.699988,32.542281,18.976263
Milan IC 3,Gas,4,2017,PJM,PENLC,6.8,6.8,6.8,11.842293,20.699988,32.542281,18.976263
Miles City CT 1,Gas,5,1972,MISO,Z1,27.5,23.6,27.5,542.28548,72.554728,614.840208,3.969538
Milford Power (MA) CC GT-1,Gas,3,1993,New England,SEMA,69,61.5,69,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC GT-1,Gas,3,1993,New England,SEMA,15.64,13.94,15.64,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC GT-1,Gas,3,1993,New England,SEMA,34.5,30.75,34.5,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC GT-1,Gas,3,1993,New England,SEMA,18.86,16.81,18.86,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC ST-1,Gas,3,1993,New England,SEMA,43.7,40.9,43.7,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC ST-1,Gas,3,1993,New England,SEMA,9.9,9.27,9.9,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC ST-1,Gas,3,1993,New England,SEMA,21.85,20.45,21.85,8.287658,31.858652,40.14631,19.867768
Milford Power (MA) CC ST-1,Gas,3,1993,New England,SEMA,11.95,11.18,11.95,8.287658,31.858652,40.14631,19.867768
Milford Power CC CA01,Gas,2,2004,New England,Connecticut,295.6,270.9,295.6,0.867396,19.666477,20.533873,10.842457
Milford Power CC CA02,Gas,5,2004,New England,Connecticut,289.7,266.7,289.7,0.867396,19.666477,20.533873,10.842457
Millennium Power CC CT01,Gas,4,2001,New England,WCMA,246.2,214.8,246.2,2.121363,25.082976,27.204339,12.332834
Millennium Power CC ST01,Gas,4,2001,New England,WCMA,137.7,120.1,137.7,2.121363,25.082976,27.204339,12.332834
MillerCoors Irwindale Brewery CT T100,Gas,2,2002,CAISO,SP-15,1.97,1.72,1.97,4.586327,45.814081,50.400408,13.466449
MillerCoors Irwindale Brewery CT T100,Gas,2,2002,CAISO,SP-15,2.73,2.38,2.73,4.586327,45.814081,50.400408,13.466449
MillerCoors Irwindale Brewery CT T200,Gas,2,2002,CAISO,SP-15,1.97,1.72,1.97,4.586327,45.814081,50.400408,13.466449
MillerCoors Irwindale Brewery CT T200,Gas,2,2002,CAISO,SP-15,2.73,2.38,2.73,4.586327,45.814081,50.400408,13.466449
Milton R. Young ST 1,Coal,10,1970,MISO,Z1,237,237,237,2.685346,8.772804,11.45815,27.615928
Milton R. Young ST 2,Coal,4,1977,MISO,Z1,455,447,455,2.685346,8.436354,11.1217,27.615928
Minneapolis IC 3,Gas,12,1961,SPP,SPP,1.2,1.2,1.2,120.237762,18.275344,138.513106,6.107743
Minneapolis IC 4,Gas,4,1955,SPP,SPP,0.5,0.5,0.5,120.237762,18.275344,138.513106,6.107743
Minneapolis IC 5,Gas,9,1966,SPP,SPP,1.8,1.8,1.8,120.237762,18.275344,138.513106,6.107743
Minneapolis IC 6,Gas,2,1972,SPP,SPP,2.7,2.7,2.7,120.237762,18.275344,138.513106,6.107743
Minneapolis IC 7,Gas,5,1989,SPP,SPP,1.8,1.8,1.8,120.237762,101.262429,221.500191,6.107743
Minnesota River CT UOO1,Gas,5,2001,MISO,Z1,39,39,39,115.018782,28.771519,143.790301,5.798622
Mira Loma Substation CT 1,Gas,9,2007,CAISO,SP-15,49,49,49,23.268222,34.831572,58.099794,21.894517
Miramar GT CT 1,Gas,6,2005,CAISO,SP-15,47,47,47,4.351646,34.334799,38.686445,20.030068
Miramar GT CT 2,Gas,8,2009,CAISO,SP-15,47,47,47,4.351646,34.812847,39.164493,20.030068
Mission College Boulevard FC NTL3A,Gas,12,2017,CAISO,NP-15,2.4,2.4,2.4,46.035764,30.07199,76.107754,0
Mission College Boulevard FC NTL3B,Gas,12,2017,CAISO,NP-15,2.6,2.6,2.6,46.035764,30.07199,76.107754,0
Mitchell (WV) ST 1,Coal,5,1971,PJM,AEP,385,385,385,3.710063,26.6681,30.378163,29.841846
Mitchell (WV) ST 1,Coal,5,1971,PJM,AEP,385,385,385,3.710063,26.6681,30.378163,29.841846
Mitchell (WV) ST 2,Coal,5,1971,PJM,AEP,395,395,395,3.710063,26.664178,30.374241,29.841846
Mitchell (WV) ST 2,Coal,5,1971,PJM,AEP,395,395,395,3.710063,26.664178,30.374241,29.841846
Moline CT GT1,Gas,5,1970,MISO,Z3,1.93,1.54,1.93,295.890817,92.760935,388.651752,2.907583
Moline CT GT1,Gas,5,1970,MISO,Z3,18.07,14.46,18.07,295.890817,92.760935,388.651752,2.907583
Moline CT GT2,Gas,5,1970,MISO,Z3,18.07,15.45,18.07,295.890817,92.760935,388.651752,2.907583
Moline CT GT2,Gas,5,1970,MISO,Z3,1.93,1.65,1.93,295.890817,92.760935,388.651752,2.907583
Moline CT GT3,Gas,5,1970,MISO,Z3,18.07,15.27,18.07,295.890817,92.760935,388.651752,2.907583
Moline CT GT3,Gas,5,1970,MISO,Z3,1.93,1.63,1.93,295.890817,92.760935,388.651752,2.907583
Moline CT GT4,Gas,5,1970,MISO,Z3,1.93,1.61,1.93,295.890817,92.760935,388.651752,2.907583
Moline CT GT4,Gas,5,1970,MISO,Z3,18.07,15.09,18.07,295.890817,92.760935,388.651752,2.907583
Monroe (MI) ST 1,Coal,6,1971,MISO,Z7,758,758,758,1.549882,18.71944,20.269322,23.042997
Monroe (MI) ST 2,Coal,3,1973,MISO,Z7,783,773,783,1.549882,18.53655,20.086432,23.042997
Monroe (MI) ST 3,Coal,5,1973,MISO,Z7,783,773,783,1.549882,18.554073,20.103955,23.042997
Monroe (MI) ST 4,Coal,5,1974,MISO,Z7,762,762,762,1.549882,19.037701,20.587583,23.042997
Montour ST 1,Coal,3,1972,PJM,PL,771.2,752,771.2,6.615856,36.645184,43.26104,28.461636
Montour ST 2,Coal,4,1973,PJM,PL,763.3,752,763.3,6.615856,33.401322,40.017178,28.461636
Montpelier Generating Station CT GT1,Gas,6,2001,PJM,AEP,59,59,59,1.842352,27.060165,28.902517,3.595197
Montpelier Generating Station CT GT2,Gas,6,2001,PJM,AEP,59,59,59,1.842352,27.309559,29.151911,3.595197
Montpelier Generating Station CT GT3,Gas,6,2001,PJM,AEP,59,59,59,1.842352,27.065693,28.908045,3.595197
Montpelier Generating Station CT GT4,Gas,6,2001,PJM,AEP,59,59,59,1.842352,25.913076,27.755428,3.595197
Mooreland ST 1,Gas,3,1964,SPP,SPP,50,50,50,24.712764,29.442406,54.15517,15.838581
Mooreland ST 2,Gas,7,1968,SPP,SPP,132,132,132,24.712764,28.557235,53.269999,15.838581
Mooreland ST 3,Gas,7,1975,SPP,SPP,140,140,140,24.712764,29.225971,53.938735,15.838581
Mora IC 2,Gas,9,1957,MISO,Z1,1.2,1.2,1.2,300.975737,130.220922,431.196659,11.458054
Mora IC 5,Gas,6,1972,MISO,Z1,5.7,5.7,5.7,300.975737,130.220926,431.196663,11.458054
Mora IC 6,Gas,7,1975,MISO,Z1,6.3,6.3,6.3,300.975737,707.481726,1008.457463,11.458054
Morgan City CC CC LEPA1,Gas,6,2016,MISO,Z9,48,48,48,1.200034,21.571154,22.771188,11.37899
Morgan City CC CC LEPA2,Gas,6,2016,MISO,Z9,16,16,16,1.200034,21.571154,22.771188,11.37899
Morgan Creek CT1,Gas,7,1988,ERCOT,West,82,67,82,64.799354,21.399558,86.198912,3.533562
Morgan Creek CT2,Gas,7,1988,ERCOT,West,80,66,80,64.799354,20.471638,85.270992,3.533562
Morgan Creek CT3,Gas,8,1988,ERCOT,West,80,66,80,64.799354,25.925783,90.725137,3.533562
Morgan Creek CT4,Gas,7,1988,ERCOT,West,81,67,81,64.799354,21.018112,85.817466,3.533562
Morgan Creek CT5,Gas,7,1988,ERCOT,West,80,68,80,64.799354,22.123716,86.92307,3.533562
Morgan Creek CT6,Gas,7,1988,ERCOT,West,82,68,82,64.799354,22.053947,86.853301,3.533562
Morgantown Energy Facility CFB GEN1,Coal,11,1991,PJM,APS,50,50,50,4.479594,19.467788,23.947382,17.402158
Morgantown ST1,Coal,6,1970,PJM,PEPCO,596,596,596,5.763064,35.486943,41.250007,28.256792
Morgantown ST2,Coal,6,1971,PJM,PEPCO,609,609,609,5.763064,33.121427,38.884491,28.256792
Moselle CC 1,Gas,5,2012,MISO,Z10,59,59,59,1.618721,23.254119,24.87284,10.63264
Moselle CC 2,Gas,10,2012,MISO,Z10,59,59,59,1.618721,23.254119,24.87284,10.63264
Moselle CC GTG1,Gas,5,2012,MISO,Z10,83.5,75,83.5,1.618721,23.254119,24.87284,10.63264
Moselle CC GTG2,Gas,10,2012,MISO,Z10,83.5,75,83.5,1.618721,23.254119,24.87284,10.63264
Moselle CT 4,Gas,6,1997,MISO,Z10,83,75,83,2.574595,33.187238,35.761833,3.92276
Moselle CT 5,Gas,6,2006,MISO,Z10,83.5,75,83.5,2.574595,33.646994,36.221589,3.92276
Moselle ST 3,Gas,8,1970,MISO,Z10,59,59,59,41.103521,38.891288,79.994809,26.183304
Moss Landing CC CT1A,Gas,7,2002,CAISO,NP-15,165,165,165,1.126269,26.387565,27.513834,10.239873
Moss Landing CC CT1B,Gas,7,2002,CAISO,NP-15,165,165,165,1.126269,26.387565,27.513834,10.239873
Moss Landing CC CT2A,Gas,7,2002,CAISO,NP-15,165,165,165,1.126269,26.387565,27.513834,10.239873
Moss Landing CC CT2B,Gas,7,2002,CAISO,NP-15,165,165,165,1.126269,26.387565,27.513834,10.239873
Moss Landing CC ST1,Gas,7,2002,CAISO,NP-15,180,180,180,1.126269,26.387565,27.513834,10.239873
Moss Landing CC ST2,Gas,7,2002,CAISO,NP-15,180,180,180,1.126269,26.387565,27.513834,10.239873
Mount Carmel Cogen CFB TG1,Coal,1,1990,PJM,PL,43,43,40,5.829577,19.467788,25.297365,14.989696
Mount Joy Wire IC CHP,Gas,12,2011,PJM,PECO,1.1,1.1,1.1,15.141072,29.059071,44.200143,10.395876
Mount Storm ST 1,Coal,9,1965,PJM,DOM,569,554,569,2.928428,31.592258,34.520686,24.819289
Mount Storm ST 2,Coal,7,1966,PJM,DOM,570,555,570,2.928428,31.255624,34.184052,24.819289
Mount Storm ST 3,Coal,12,1973,PJM,DOM,537,520,537,2.928428,33.574029,36.502457,24.819289
Mountain Creek ST 6,Gas,2,1956,ERCOT,North,122,122,122,10.40089,168.40761,178.8085,12.788473
Mountain Creek ST 7,Gas,3,1958,ERCOT,North,118,118,118,10.40089,31.276067,41.676957,12.788473
Mountain Creek ST 8,Gas,7,1967,ERCOT,North,568,568,568,10.40089,31.346531,41.747421,12.788473
Mountaineer ST 1,Coal,9,1980,PJM,AEP,1299,1299,1299,4.647774,23.759826,28.4076,30.057088
Moxie Freedom Project CC GEN1A,Gas,8,2018,PJM,PL,112.32,112.32,112.32,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN1A,Gas,8,2018,PJM,PL,112.32,112.32,112.32,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN1A,Gas,8,2018,PJM,PL,112.36,112.36,112.36,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN1B,Gas,8,2018,PJM,PL,62.66,62.66,62.66,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN1B,Gas,8,2018,PJM,PL,62.66,62.66,62.66,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN1B,Gas,8,2018,PJM,PL,62.68,62.68,62.68,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2A,Gas,8,2018,PJM,PL,112.32,112.32,112.32,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2A,Gas,8,2018,PJM,PL,112.32,112.32,112.32,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2A,Gas,8,2018,PJM,PL,112.36,112.36,112.36,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2B,Gas,8,2018,PJM,PL,62.66,62.66,62.66,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2B,Gas,8,2018,PJM,PL,62.66,62.66,62.66,1.255268,17.118102,18.37337,21.689559
Moxie Freedom Project CC GEN2B,Gas,8,2018,PJM,PL,62.68,62.68,62.68,1.255268,17.118102,18.37337,21.689559
MSC Sebewaing ST 1,Coal,10,1990,MISO,Z7,1.4,0,1.4,9.84949,33.83959,43.68908,14.372759
MSC Sebewaing ST 2,Coal,10,1979,MISO,Z7,0.9,0.9,0.9,9.84949,33.83959,43.68908,14.372759
MTHS Co-Gen Buildings IC STH1,Gas,1,1992,PJM,COMED,0.6,0.6,0.6,15.141072,28.976368,44.11744,10.395876
MTHS Co-Gen Buildings IC STH2,Gas,1,1992,PJM,COMED,0.6,0.6,0.6,15.141072,28.976368,44.11744,10.395876
Munising ST M387,Coal,1,1930,MISO,Z2,5.8,5.8,5.8,9.84949,17.626844,27.476334,14.372759
Muscatine Plant 1 ST 7,Coal,4,1958,MISO,Z3,20.7,20.7,20.7,5.455996,11.832629,17.288625,23.390094
Muscatine Plant 1 ST 8,Coal,1,1969,MISO,Z3,25.1,25.1,25.1,5.455996,11.070479,16.526475,23.390094
Muscatine Plant 1 ST 8A,Coal,7,2000,MISO,Z3,18.8,18.8,18.8,5.455996,17.143876,22.599872,23.390094
Muscatine Plant 1 ST 9,Coal,4,1983,MISO,Z3,162.6,162.6,162.6,5.455996,8.451784,13.90778,23.390094
Muskogee Mill ST GEN1,Coal,3,1978,SPP,SPP,15.2,11.6,15.2,6.087022,18.464442,24.551464,19.886352
Muskogee Mill ST GEN2,Coal,3,1979,SPP,SPP,44.5,44.5,44.5,6.087022,18.457741,24.544763,19.886352
Muskogee Mill ST GEN3,Coal,11,1982,SPP,SPP,34.3,34.3,33.8,6.087022,18.450757,24.537779,19.886352
Muskogee ST 4,Gas,12,1977,SPP,SPP,479,479,479,2.231747,22.682513,24.91426,15.887673
Muskogee ST 5,Gas,10,1978,SPP,SPP,501,501,501,2.231747,22.366873,24.59862,15.887673
Muskogee ST 6,Gas,6,1984,SPP,SPP,503,503,503,2.231747,20.682395,22.914142,15.887673
Mustang CT 5A,Gas,6,1971,SPP,SPP,33,33,33,218.710338,46.178533,264.888871,1.899885
Mustang CT 5B,Gas,6,1971,SPP,SPP,31,31,31,218.710338,43.722699,262.433037,1.899885
Mustang CT GT1,Gas,9,2017,SPP,SPP,57,57,57,218.710338,35.715587,254.425925,1.899885
Mustang CT GT2,Gas,11,2017,SPP,SPP,57,57,57,218.710338,35.283608,253.993946,1.899885
Mustang CT GT3,Gas,11,2017,SPP,SPP,58,58,58,218.710338,35.318332,254.02867,1.899885
Mustang CT GT4,Gas,11,2017,SPP,SPP,58,58,58,218.710338,35.634884,254.345222,1.899885
Mustang CT GT5,Gas,11,2017,SPP,SPP,57,57,57,218.710338,35.150873,253.861211,1.899885
Mustang CT GT6,Gas,11,2017,SPP,SPP,57,57,57,218.710338,35.298683,254.009021,1.899885
Mustang CT GT7,Gas,11,2017,SPP,SPP,57,57,57,218.710338,35.625784,254.336122,1.899885
Mustang Station 4 CT GEN1,Gas,4,2006,SPP,SPP,161,153,161,1.154971,14.968187,16.123158,9.155012
Mustang Station 4 CT GEN2,Gas,6,2007,SPP,SPP,171,153,171,1.154971,14.957367,16.112338,9.155012
Mustang Station 4 CT GEN3,Gas,8,2013,SPP,SPP,166,156,166,1.154971,17.493454,18.648425,9.155012
Mustang Station CC GEN1,Gas,6,1999,SPP,SPP,154,154,154,1.673618,10.739102,12.41272,25.964971
Mustang Station CC GEN2,Gas,6,1999,SPP,SPP,153,153,153,1.673618,10.739102,12.41272,25.964971
Mustang Station CC GEN3,Gas,4,2000,SPP,SPP,157,157,157,1.673618,10.739102,12.41272,25.964971
Mystic River CC GT81,Gas,4,2003,New England,NEMA,268.7,228.8,268.7,1.489789,25.732738,27.222527,9.737586
Mystic River CC GT82,Gas,4,2003,New England,NEMA,271.3,230,271.3,1.489789,25.732738,27.222527,9.737586
Mystic River CC GT93,Gas,6,2003,New England,NEMA,277.9,232.4,277.9,1.489789,25.732738,27.222527,9.737586
Mystic River CC GT94,Gas,6,2003,New England,NEMA,277.5,233.5,277.5,1.489789,25.732738,27.222527,9.737586
Mystic River CC ST85,Gas,4,2003,New England,NEMA,301.6,244.6,301.6,1.489789,25.732738,27.222527,9.737586
Mystic River CC ST96,Gas,6,2003,New England,NEMA,303,248.1,303,1.489789,25.732738,27.222527,9.737586
Napoleon Peaking Station CT1,Gas,6,2000,PJM,ATSI,33,26,33,22.891172,40.177394,63.068566,5.361035
Napoleon Peaking Station CT2,Gas,6,2000,PJM,ATSI,16.5,12,16.5,22.891172,40.177394,63.068566,5.361035
Narrows (NY) CT NT11,Gas,5,1972,New York,Zone J (NYC),24.5,19.6,24.5,7.287485,46.181628,53.469113,3.892616
Narrows (NY) CT NT12,Gas,5,1972,New York,Zone J (NYC),24.1,17.6,24.1,7.287485,46.208981,53.496466,3.892616
Narrows (NY) CT NT13,Gas,5,1972,New York,Zone J (NYC),24.7,18.6,24.7,7.287485,46.121408,53.408893,3.892616
Narrows (NY) CT NT14,Gas,5,1972,New York,Zone J (NYC),24.9,18.7,24.9,7.287485,46.139603,53.427088,3.892616
Narrows (NY) CT NT15,Gas,5,1972,New York,Zone J (NYC),24.9,20.6,24.9,7.287485,46.145298,53.432783,3.892616
Narrows (NY) CT NT16,Gas,5,1972,New York,Zone J (NYC),21.2,15.7,21.2,7.287485,46.185236,53.472721,3.892616
Narrows (NY) CT NT17,Gas,5,1972,New York,Zone J (NYC),24.9,19.8,24.9,7.287485,46.213085,53.50057,3.892616
Narrows (NY) CT NT18,Gas,5,1972,New York,Zone J (NYC),21.8,17.4,21.8,7.287485,46.151128,53.438613,3.892616
Narrows (NY) CT NT21,Gas,6,1972,New York,Zone J (NYC),24.9,19,24.9,7.287485,46.20253,53.490015,3.892616
Narrows (NY) CT NT22,Gas,6,1972,New York,Zone J (NYC),23.4,16.3,23.4,7.287485,46.166765,53.45425,3.892616
Narrows (NY) CT NT23,Gas,6,1972,New York,Zone J (NYC),23.8,17.7,23.8,7.287485,46.160413,53.447898,3.892616
Narrows (NY) CT NT24,Gas,6,1972,New York,Zone J (NYC),24.5,18,24.5,7.287485,46.136921,53.424406,3.892616
Narrows (NY) CT NT25,Gas,6,1972,New York,Zone J (NYC),23.6,18.4,23.6,7.287485,46.146301,53.433786,3.892616
Narrows (NY) CT NT26,Gas,6,1972,New York,Zone J (NYC),21.4,16.6,21.4,7.287485,46.138278,53.425763,3.892616
Narrows (NY) CT NT27,Gas,6,1972,New York,Zone J (NYC),24.9,18.9,24.9,7.287485,46.135188,53.422673,3.892616
Narrows (NY) CT NT28,Gas,6,1972,New York,Zone J (NYC),22.2,16.5,22.2,7.287485,46.087153,53.374638,3.892616
NASA Johnson Plant CTG-1,Gas,NA,2017,ERCOT,Houston,5.7,5.3,5.7,1.53714,30.476317,32.013457,3.690182
NASA Johnson Plant CTG-2,Gas,NA,2017,ERCOT,Houston,5.7,5.3,5.7,1.53714,30.476317,32.013457,3.690182
Navy Yard Natural Gas Plant IC GEN1,Gas,1,2018,PJM,PECO,2,2,2,32.66831,33.898559,66.566869,24.068362
Navy Yard Natural Gas Plant IC GEN2,Gas,1,2018,PJM,PECO,2,2,2,32.66831,33.898559,66.566869,24.068362
Navy Yard Natural Gas Plant IC GEN3,Gas,1,2018,PJM,PECO,2,2,2,32.66831,33.898559,66.566869,24.068362
Navy Yard Natural Gas Plant IC GEN4,Gas,11,2018,PJM,PECO,2,2,2,32.66831,33.913182,66.581492,24.068362
Nearman Creek CT4,Gas,2,2006,SPP,SPP,76,76,76,13.926763,43.046733,56.973496,4.115139
Nearman Creek ST 1,Coal,6,1981,SPP,SPP,240,240,240,4.441253,17.093555,21.534808,25.775539
Nebraska City ST 1,Coal,4,1979,SPP,SPP,654.3,654.3,654.3,2.569467,14.096869,16.666336,28.492135
Nebraska City ST 2,Coal,5,2009,SPP,SPP,691,691,691,2.569467,13.56493,16.134397,28.492135
"Nebraska City, NE 1 IC 10",Gas,4,1979,SPP,SPP,5.8,5.8,5.8,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 1 IC 2",Gas,5,1953,SPP,SPP,1,1,1,20.917832,155.678144,176.595976,10.67096
"Nebraska City, NE 1 IC 3",Gas,5,1955,SPP,SPP,2,2,2,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 1 IC 4",Gas,8,1957,SPP,SPP,2.7,2.7,2.7,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 1 IC 5",Gas,8,1964,SPP,SPP,1.7,1.7,1.7,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 1 IC 8",Gas,4,1971,SPP,SPP,3.6,3.6,3.6,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 1 IC 9",Gas,6,1974,SPP,SPP,5.8,5.8,5.8,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 2 IC 11",Gas,8,1998,SPP,SPP,3.8,3.8,3.8,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 2 IC 12",Gas,8,1998,SPP,SPP,3.8,3.8,3.8,15.141072,28.096024,43.237096,10.395876
"Nebraska City, NE 2 IC 13",Gas,11,1998,SPP,SPP,4.2,4.2,4.2,20.917832,155.678144,176.595976,10.67096
Neenah CT01,Gas,5,2000,MISO,Z2,174.6,152.5,174.6,1.060374,27.462219,28.522593,2.130239
Neenah CT02,Gas,5,2000,MISO,Z2,169.9,148.4,169.9,1.060374,27.606332,28.666706,2.130239
Nelson CC CT1,Gas,5,2015,PJM,COMED,89,84,89,0.731377,18.422688,19.154065,9.450564
Nelson CC CT1,Gas,5,2015,PJM,COMED,89,84,89,0.731377,18.422688,19.154065,9.450564
Nelson CC CT2,Gas,5,2015,PJM,COMED,89,84,89,0.731377,18.422688,19.154065,9.450564
Nelson CC CT2,Gas,5,2015,PJM,COMED,89,84,89,0.731377,18.422688,19.154065,9.450564
Nelson CC ST1,Gas,5,2015,PJM,COMED,64,62.5,64,0.731377,18.422688,19.154065,9.450564
Nelson CC ST1,Gas,5,2015,PJM,COMED,64,62.5,64,0.731377,18.422688,19.154065,9.450564
Nelson CC ST2,Gas,5,2015,PJM,COMED,64,62.5,64,0.731377,18.422688,19.154065,9.450564
Nelson CC ST2,Gas,5,2015,PJM,COMED,64,62.5,64,0.731377,18.422688,19.154065,9.450564
New Castle ST 3,Gas,9,1952,PJM,ATSI,93,88,93,6.677418,27.042098,33.719516,17.131062
New Castle ST 4,Gas,8,1958,PJM,ATSI,92,87,92,6.677418,28.721977,35.399395,17.131062
New Castle ST 5,Gas,6,1964,PJM,ATSI,135,130,135,6.677418,26.845566,33.522984,17.131062
New Hampton IC 3,Gas,4,1967,SPP,SPP,3.5,3.5,3.5,99.744679,25.906834,125.651513,15.577158
New Hampton IC 4,Gas,2,1973,SPP,SPP,5,5,5,99.744679,25.906833,125.651512,15.577158
New Hampton IC 5,Gas,2,1973,SPP,SPP,5,5,5,99.744679,25.906833,125.651512,15.577158
New Hampton IC 7,Gas,5,1999,SPP,SPP,5.3,5.3,5.3,99.744679,140.750124,240.494803,15.577158
New Hampton IC 8,Gas,5,1999,SPP,SPP,5.3,5.3,5.3,99.744679,140.750124,240.494803,15.577158
New Haven Fuel Cell NHFC,Gas,8,2015,New England,Connecticut,2.04,2.04,2.04,46.035764,32.766139,78.801903,0
New Haven Fuel Cell NHFC,Gas,8,2015,New England,Connecticut,0.46,0.46,0.46,46.035764,32.766139,78.801903,0
New Haven Harbor ST 1,Gas,7,1975,New England,Connecticut,447.9,447.9,436.6,41.103521,74.284299,115.38782,13.434608
New Prague IC 2,Gas,7,1974,MISO,Z1,4.4,4.4,4.4,15.141072,28.654524,43.795596,10.395876
New Prague IC 3,Gas,8,1962,MISO,Z1,2.4,2.4,2.4,15.141072,28.654524,43.795596,10.395876
New Prague IC 4,Gas,8,1968,MISO,Z1,3.5,3.5,3.5,15.141072,28.654524,43.795596,10.395876
New Prague IC 5,Gas,8,1944,MISO,Z1,0.6,0.6,0.6,15.141072,28.654524,43.795596,10.395876
New Prague IC 6,Gas,6,1982,MISO,Z1,5.9,5.9,5.9,15.141072,28.654524,43.795596,10.395876
New Roads IC 1,Gas,6,1965,MISO,Z9,1.8,1.8,1.8,634.44791,53.844897,688.292807,3.318248
New Roads IC 2,Gas,6,1953,MISO,Z9,0.6,0.6,0.6,634.44791,53.844897,688.292807,3.318248
New Roads IC 3,Gas,6,1957,MISO,Z9,0.7,0.7,0.7,634.44791,53.844929,688.292839,3.318248
New Roads IC 4,Gas,6,1957,MISO,Z9,1.2,1.2,1.2,634.44791,53.844897,688.292807,3.318248
New Roads IC 5,Gas,6,1951,MISO,Z9,1.2,1.2,1.2,634.44791,53.844897,688.292807,3.318248
New Roads IC 6,Gas,6,1971,MISO,Z9,1.5,1.5,1.5,634.44791,53.844942,688.292852,3.318248
