Unit Name ,Fuel Type ,Month Unit in Service ,Year Unit in Service ,Dispatching ISO ,Dispatching ISO Zonal Location,Operating Capacity (Owner - GSC) (MW),Summer Capacity (Owner - GSC) (MW),Winter Capacity (Owner - GSC) (MW),Non-Fuel Variable O&M Costs per MWh (Owner) ($/MWh),Fuel Costs per MWh (Owner) ($/MWh),Variable Costs ($/MWh),Fixed O&M Costs per kW-Year (Owner) ($/kW-year)
Concord CT 1,Gas,7,1993,MISO,Z2,100,90,100,5.748689,37.304112,43.052801,1.344984
Concord CT 2,Gas,7,1993,MISO,Z2,100,89.7,100,5.748689,37.445844,43.194533,1.344984
Concord CT 3,Gas,5,1994,MISO,Z2,100,90.7,100,5.748689,36.991954,42.740643,1.344984
Concord CT 4,Gas,5,1994,MISO,Z2,100,91.2,100,5.748689,37.139103,42.887792,1.344984
Conemaugh ST 1,Coal,5,1970,PJM,PENLC,489.69,489.69,489.69,2.572593,27.166404,29.738997,28.50851
Conemaugh ST 1,Coal,5,1970,PJM,PENLC,171.45,171.45,171.45,2.572593,27.166404,29.738997,28.50851
Conemaugh ST 1,Coal,5,1970,PJM,PENLC,138.13,138.13,138.13,2.572593,27.166404,29.738997,28.50851
Conemaugh ST 1,Coal,5,1970,PJM,PENLC,50.75,50.75,50.75,2.572593,27.166404,29.738997,28.50851
Conemaugh ST 2,Coal,5,1971,PJM,PENLC,489.69,489.69,489.69,2.572593,26.901086,29.473679,28.50851
Conemaugh ST 2,Coal,5,1971,PJM,PENLC,171.45,171.45,171.45,2.572593,26.901086,29.473679,28.50851
Conemaugh ST 2,Coal,5,1971,PJM,PENLC,138.13,138.13,138.13,2.572593,26.901086,29.473679,28.50851
Conemaugh ST 2,Coal,5,1971,PJM,PENLC,50.75,50.75,50.75,2.572593,26.901086,29.473679,28.50851
Cooper (KY) ST 1,Coal,2,1965,PJM,EKPC,116,116,116,9.137188,40.952845,50.090033,25.748226
Cooper (KY) ST 2,Coal,10,1969,PJM,EKPC,225,225,225,9.137188,40.708615,49.845803,25.748226
Coralville CT 1,Gas,6,1970,MISO,Z3,1.59,1.59,1.59,287.553934,247.261159,534.815093,2.359894
Coralville CT 1,Gas,6,1970,MISO,Z3,14.91,14.91,14.91,287.553934,247.261159,534.815093,2.359894
Coralville CT 2,Gas,6,1970,MISO,Z3,1.66,1.66,1.66,287.553934,247.261157,534.815091,2.359894
Coralville CT 2,Gas,6,1970,MISO,Z3,15.54,15.54,15.54,287.553934,247.261157,534.815091,2.359894
Coralville CT 3,Gas,6,1970,MISO,Z3,14.64,14.64,14.64,287.553934,247.261157,534.815091,2.359894
Coralville CT 3,Gas,6,1970,MISO,Z3,1.56,1.56,1.56,287.553934,247.261157,534.815091,2.359894
Coralville CT 4,Gas,6,1970,MISO,Z3,14.91,14.91,14.91,287.553934,247.261159,534.815093,2.359894
Coralville CT 4,Gas,6,1970,MISO,Z3,1.59,1.59,1.59,287.553934,247.261159,534.815093,2.359894
Cordova Energy Center CC PT11,Gas,6,2001,PJM,COMED,19.76,15.91,19.76,8.802449,18.380704,27.183153,11.161378
Cordova Energy Center CC PT11,Gas,6,2001,PJM,COMED,185.24,149.09,185.24,8.802449,18.380704,27.183153,11.161378
Cordova Energy Center CC PT21,Gas,6,2001,PJM,COMED,19.76,15.91,19.76,8.802449,18.380704,27.183153,11.161378
Cordova Energy Center CC PT21,Gas,6,2001,PJM,COMED,185.24,149.09,185.24,8.802449,18.380704,27.183153,11.161378
Cordova Energy Center CC PT31,Gas,6,2001,PJM,COMED,18.43,18.43,18.43,8.802449,18.380704,27.183153,11.161378
Cordova Energy Center CC PT31,Gas,6,2001,PJM,COMED,172.77,172.77,172.77,8.802449,18.380704,27.183153,11.161378
Corn Products - Illinois ST TGO1,Coal,5,1991,PJM,COMED,21.2,21.1,21.2,5.605096,19.482157,25.087253,15.301562
Corn Products - Illinois ST TGO2,Coal,5,1991,PJM,COMED,21.2,21.1,21.2,5.605096,22.922469,28.527565,15.301562
Cottonwood Energy CC CT1,Gas,7,2003,MISO,Z9,169.3,163.7,169.3,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC CT2,Gas,7,2003,MISO,Z9,169.3,163.7,169.3,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC CT3,Gas,7,2003,MISO,Z9,169.3,163.7,169.3,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC CT4,Gas,7,2003,MISO,Z9,169.3,163.7,169.3,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC ST1,Gas,7,2003,MISO,Z9,135.7,131.3,135.7,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC ST2,Gas,7,2003,MISO,Z9,135.7,131.3,135.7,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC ST3,Gas,7,2003,MISO,Z9,135.7,131.3,135.7,0.794799,19.55639,20.351189,9.991671
Cottonwood Energy CC ST4,Gas,7,2003,MISO,Z9,135.7,131.3,135.7,0.794799,19.55639,20.351189,9.991671
Coughlin Power (Evangeline) CC 6,Gas,6,2000,MISO,Z9,99,98.5,99,1.392563,20.042945,21.435508,10.546494
Coughlin Power (Evangeline) CC 7,Gas,6,2000,MISO,Z9,185,180.5,185,1.392563,20.042945,21.435508,10.546494
Coughlin Power (Evangeline) CC U6CT,Gas,6,2000,MISO,Z9,175,147.3,175,1.392563,20.042945,21.435508,10.546494
Coughlin Power (Evangeline) CC U72,Gas,6,2000,MISO,Z9,175,153,175,1.392563,20.042945,21.435508,10.546494
Coughlin Power (Evangeline) CC U7CT,Gas,6,2000,MISO,Z9,175,150.2,175,1.392563,20.042945,21.435508,10.546494
Cove Point LNG Terminal CC 111JA,Gas,4,2018,PJM,PEPCO,2.35,2.13,2.35,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 111JA,Gas,4,2018,PJM,PEPCO,7.05,6.38,7.05,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 111JB,Gas,4,2018,PJM,PEPCO,2.35,2.13,2.35,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 111JB,Gas,4,2018,PJM,PEPCO,7.05,6.38,7.05,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 111JC,Gas,4,2018,PJM,PEPCO,2.35,2.13,2.35,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 111JC,Gas,4,2018,PJM,PEPCO,7.05,6.38,7.05,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 214JA,Gas,4,2018,PJM,PEPCO,17.93,16.28,17.93,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 214JA,Gas,4,2018,PJM,PEPCO,5.98,5.43,5.98,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 214JB,Gas,4,2018,PJM,PEPCO,5.98,5.43,5.98,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 214JB,Gas,4,2018,PJM,PEPCO,17.93,16.28,17.93,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 311JA,Gas,4,2018,PJM,PEPCO,3.9,3.23,3.9,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 311JA,Gas,4,2018,PJM,PEPCO,11.7,9.68,11.7,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 5STA,Gas,4,2018,PJM,PEPCO,10,10,10,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 5STA,Gas,4,2018,PJM,PEPCO,30,30,30,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 5STB,Gas,4,2018,PJM,PEPCO,10,10,10,2.096746,28.54038,30.637126,12.067281
Cove Point LNG Terminal CC 5STB,Gas,4,2018,PJM,PEPCO,30,30,30,2.096746,28.54038,30.637126,12.067281
Covert Generating Plant CC 1,Gas,3,2004,PJM,AEP,228.7,220.5,228.7,0.806116,18.963514,19.76963,9.957581
Covert Generating Plant CC 1A,Gas,3,2004,PJM,AEP,136,134,136,0.806116,18.963514,19.76963,9.957581
Covert Generating Plant CC 2,Gas,3,2004,PJM,AEP,280,218.2,280,0.806116,18.963514,19.76963,9.957581
Covert Generating Plant CC 2A,Gas,3,2004,PJM,AEP,138.8,134,138.8,0.806116,18.963514,19.76963,9.957581
Covert Generating Plant CC 3,Gas,3,2004,PJM,AEP,264,210.7,264,0.806116,18.963514,19.76963,9.957581
Covert Generating Plant CC 3A,Gas,3,2004,PJM,AEP,136,134,136,0.806116,18.963514,19.76963,9.957581
Coyote ST 1,Coal,5,1981,MISO,Z1,128.7,128.7,128.7,4.215521,7.272765,11.488286,32.488814
Coyote ST 1,Coal,5,1981,MISO,Z1,107.25,107.25,107.25,4.215521,7.272765,11.488286,32.488814
Coyote ST 1,Coal,5,1981,MISO,Z1,150.15,150.15,150.15,4.215521,7.272765,11.488286,32.488814
Coyote ST 1,Coal,5,1981,MISO,Z1,42.9,42.9,42.9,4.215521,7.272765,11.488286,32.488814
CPV Fairview Energy Center CC GEN1,Gas,12,2019,PJM,PENLC,84.25,84.25,84.25,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN1,Gas,12,2019,PJM,PENLC,168.5,168.5,168.5,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN1,Gas,12,2019,PJM,PENLC,84.25,84.25,84.25,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN2,Gas,12,2019,PJM,PENLC,84.25,84.25,84.25,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN2,Gas,12,2019,PJM,PENLC,168.5,168.5,168.5,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN2,Gas,12,2019,PJM,PENLC,84.25,84.25,84.25,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN3,Gas,12,2019,PJM,PENLC,94,94,94,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN3,Gas,12,2019,PJM,PENLC,188,188,188,1.23602,17.223405,18.459425,14.156171
CPV Fairview Energy Center CC GEN3,Gas,12,2019,PJM,PENLC,94,94,94,1.23602,17.223405,18.459425,14.156171
CPV St. Charles Energy Center CC GTG1,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG1,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG1,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG1,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG2,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG2,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG2,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC GTG2,Gas,2,2017,PJM,PEPCO,53.75,51.25,53.75,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC STGEN,Gas,2,2017,PJM,PEPCO,79,79,79,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC STGEN,Gas,2,2017,PJM,PEPCO,79,79,79,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC STGEN,Gas,2,2017,PJM,PEPCO,79,79,79,0.690618,18.518794,19.209412,9.189899
CPV St. Charles Energy Center CC STGEN,Gas,2,2017,PJM,PEPCO,79,79,79,0.690618,18.518794,19.209412,9.189899
CPV Valley Energy Center CC CTG1,Gas,10,2018,New York,Zone G (Hudson Valley),111.5,99.1,111.5,1.87929,19.408629,21.287919,28.226476
CPV Valley Energy Center CC CTG1,Gas,10,2018,New York,Zone G (Hudson Valley),111.5,99.1,111.5,1.87929,19.408629,21.287919,28.226476
CPV Valley Energy Center CC CTG2,Gas,10,2018,New York,Zone G (Hudson Valley),111.5,99.1,111.5,1.87929,19.408629,21.287919,28.226476
CPV Valley Energy Center CC CTG2,Gas,10,2018,New York,Zone G (Hudson Valley),111.5,99.1,111.5,1.87929,19.408629,21.287919,28.226476
CPV Valley Energy Center CC STG,Gas,10,2018,New York,Zone G (Hudson Valley),160.5,154.35,160.5,1.87929,19.408629,21.287919,28.226476
CPV Valley Energy Center CC STG,Gas,10,2018,New York,Zone G (Hudson Valley),160.5,154.35,160.5,1.87929,19.408629,21.287919,28.226476
Crawfordsville ST 4,Coal,1,1955,MISO,Z6,10.6,10.6,10.6,2.757107,46.513176,49.270283,29.241608
Crawfordsville ST 5,Coal,1,1965,MISO,Z6,12.6,12.6,12.6,2.757107,46.513176,49.270283,29.241608
Creed Energy Center CT1,Gas,1,2003,CAISO,NP-15,2.21,2.21,2.21,5.69919,44.020969,49.720159,5.177531
Creed Energy Center CT1,Gas,1,2003,CAISO,NP-15,42.8,42.8,42.8,5.69919,44.020969,49.720159,5.177531
Crete Energy Park CT GT1,Gas,5,2002,PJM,COMED,87.2,75,87.2,5.516425,35.905143,41.421568,3.436767
Crete Energy Park CT GT2,Gas,5,2002,PJM,COMED,87.2,75,87.2,5.516425,35.195412,40.711837,3.436767
Crete Energy Park CT GT3,Gas,5,2002,PJM,COMED,87.2,75,87.2,5.516425,35.139959,40.656384,3.436767
Crete Energy Park CT GT4,Gas,5,2002,PJM,COMED,87.2,75,87.2,5.516425,34.758405,40.27483,3.436767
Crete Municipal Power IC 7,Gas,6,1973,SPP,SPP,6.1,6,6.1,492.982386,40.032078,533.014464,6.92654
Cricket Valley CC U004,Gas,10,2019,New York,Zone G (Hudson Valley),20.9,20.9,20.9,1.23602,24.181149,25.417169,14.156171
